name,relation,value
西南圆头蒿,物候期,花果期8至10月
长柄合耳菊,生活型,多年生草本
长柄合耳菊,生长型,顶生
长柄合耳菊,物候期,花期2月
长柄厚喙菊,生活型,多年生草本
长柄厚喙菊,物候期,花果期8至9月
长柄荚属,生活型,一年生草本
长柄荚属,生长型,顶生
长柄胡椒,物候期,花期8至9月
长柄胡颓子,物候期,花期9至12月
长柄荚,生活型,直立草本
长柄荚,物候期,花期9月，果期9至10月
长柄棘豆,生活型,多年生草本
长柄棘豆,物候期,花期5至6月，果期6至7月
长柄假福王草,生活型,一年生草本
长柄假福王草,物候期,花期8月
长柄芥属,生活型,多年生草本
云南旌节花,生活型,枝条圆形
云南旌节花,物候期,花期3至4月，果期6至9月
长柄肋毛蕨,生长型,簇生
圆瓣冷水花,生活型,草本
圆瓣冷水花,物候期,花期6至9月，果期9，果期9至11月
长柄冷水花,生长型,簇生
长柄冷水花,物候期,花期7至10月，果期9至12月
冷水花,生活型,多年生草本
冷水花,物候期,花期6至9月，果期9至11月
长柄裂瓜,生活型,攀援草本
长柄裂瓜,物候期,花期7至10月
长柄恋岩花,生活型,多年生草本
长柄柳叶菜,生活型,多年生草本
长柄柳叶菜,物候期,花期7至9月，果期8至9月
长柄米口袋,生活型,多年生草本
长柄米口袋,物候期,花期3月，果期5月
长柄马先蒿,生活型,多年生草本
长柄马先蒿,物候期,花期6至9月
长柄婆婆纳,生活型,多年生草本
长柄婆婆纳,物候期,花期6月
长柄槭,生活型,落叶乔木
长柄槭,生活型,当年生的嫩枝紫绿色
长柄槭,物候期,花期4月，果期9月
南川长柄槭,物候期,花期不明，果期9月
城步长柄槭,物候期,花期不明，果期9月
卷毛长柄槭,生活型,本变种与原种的区别在于本变种的当年生小枝淡紫褐色
卷毛长柄槭,物候期,花期4月，果期9月
维西长柄槭,物候期,花期5月，果期9月
长柄歧伞花,物候期,花期7至8月，果期9至11月
长柄琼楠,生活型,乔木
长柄琼楠,物候期,花、果期7至11月
长柄山茶,物候期,花期2月
长柄秋海棠,生活型,多年生草本
长柄秋海棠,物候期,花期8月，果期9月
长柄山姜,物候期,花果期：4至6月
长柄山蚂蝗属,生活型,多年生草本或亚灌木状
长柄山龙眼,生活型,乔木
长柄山龙眼,物候期,花期6至8月，果期11月至翌年1月
长柄珊瑚苣苔,生活型,多年生草本
长柄珊瑚苣苔,物候期,花期6至7月
长柄石笔木,生活型,乔木
长柄石笔木,物候期,花期6至7月
长柄梭罗,生活型,乔木
长柄梭罗,物候期,花期3至4月
长柄鼠李,生活型,直立灌木或小乔木
长柄唐松草,物候期,6至8月开花
长柄蹄盖蕨,生长型,簇生
长柄铁角蕨,生长型,簇生
长柄通泉草,生活型,多年生草本
长柄通泉草,生长型,簇生
长柄通泉草,物候期,花期1至4月，果期4至5月
长柄兔儿风,生活型,多年生草本
长柄兔儿风,物候期,花期12月至翌年3月
长柄乌头,物候期,8至9月开花
长柄无心菜,物候期,花期7至8月
长柄象牙参,物候期,花期：7月
长柄小芹,物候期,花果期8至9月
长柄新月蕨,生长型,侧生
莼兰绣球,物候期,花期7至8月，果期9至10月
长柄雪山报春,生活型,多年生草本
长柄雪山报春,物候期,花期6月，果期7月
长柄岩黄耆,生活型,多年生草本
长柄岩黄耆,物候期,花期7至8月，果期9至10月
长柄羊蹄甲,物候期,花期8月
长柄野荞麦,生活型,多年生草本
长柄异木患,生活型,小乔木或大灌木
长柄异药花,生活型,草本
长柄异药花,物候期,花期约5月，果期约7月
长柄油丹,生活型,乔木
长柄油丹,物候期,花期10至11月，果期12月至翌年4至5月
长柄鸢尾,生活型,多年生疏丛草本植物
长柄鸢尾,物候期,花期5月，果期6至8月
长柄獐牙菜,生活型,多年生草本
长柄樟,生活型,乔木
长柄樟,物候期,果期5至10月
长柄紫珠,物候期,花期6至7月，果期8至12月
长齿百里香,生活型,多年生半灌木
长齿百里香,生长型,对生
长齿列当,生活型,二年生草本
长齿列当,物候期,花期5至6月
长齿木蓝,物候期,花果期7月
长齿乌头,物候期,8月开花
长齿野豌豆,生活型,多年生草本
长齿野豌豆,物候期,花期5至7月
长齿蔗茅,生活型,多年生草本
长齿蔗茅,物候期,花果期8至10月
长翅槭,生活型,常绿乔木
长翅槭,物候期,花期不明，果期9月
长翅绣球,物候期,果期翌年1至2月
岩风,生活型,多年生亚灌木状草本
岩风,物候期,花期7至8月，果期8至9月
灰毛岩风,生活型,多年生草本
灰毛岩风,物候期,花期8至9月，果期9至10月
大果大戟,生活型,多年生草本
长序茶藨子,物候期,花期4至5月，果期7至8月
长春花属,生活型,一年生或多年生草本
长春花属,生长型,对生
长春花属,生长型,顶生
长春花属,生长型,互生
长唇对叶兰,物候期,花期7至8月
长唇羊耳蒜,生活型,地生草本
长唇羊耳蒜,物候期,花期5月，果期10至11月
长刺楤木,物候期,花期8至10月，果期10至12月
长刺耳蕨,生长型,簇生
长刺钩萼草,生活型,直立草本
长刺钩萼草,物候期,花期10至11月，果期11月
温泉棘豆,物候期,花期6至7月，果期7至8月
长刺酸模,生活型,一年生草本
长刺小檗,物候期,花期5月，果期6至8月
长刺锥,生活型,乔木
长刺锥,生活型,叶长圆形或兼有倒卵状长圆形
长刺猪毛菜,生活型,一年生草本
长刺猪毛菜,物候期,花期7至8月，果期9至10月
异裂短肠蕨,生长型,簇生
长萼糙苏,生活型,多年生草本
长萼糙苏,物候期,果期10月
长萼半蒴苣苔,生活型,多年生草本
长萼半蒴苣苔,物候期,花期9至10月
长萼赤瓟,生活型,攀援草本
长萼赤瓟,物候期,花果期6至10月
长萼粗叶木,生长型,单生
长萼杜鹃,生活型,灌木或小乔木
长萼杜鹃,生活型,枝条粗壮
长萼杜鹃,物候期,花期5月
长萼冠唇花,生活型,直立草本
长萼冠唇花,物候期,花期8至9月
长萼鸡眼草,生活型,一年生草本
长萼鸡眼草,物候期,花期7至8月，果期8至10月
长萼棘豆,生活型,矮小丛生草本
长萼瞿麦,生活型,多年生草本
长萼瞿麦,物候期,花期6至8月，果期8至9月
长萼堇菜,生活型,多年生草本
长萼堇菜,物候期,花果期3至11月
长萼景天,生活型,一年生草本
长萼景天,物候期,果期11月
长萼栝楼,生活型,攀援草本
长萼栝楼,物候期,花期7至8月，果期9至10月
长萼连蕊茶,生活型,小乔木
长萼龙胆,生活型,多年生草本
长萼龙胆,物候期,花果期8至9月
长萼裂黄耆,生活型,多年生草本
长萼裂黄耆,物候期,花期7至8月
长萼马醉木,物候期,花期4至6月，果期7至9月
长萼芒毛苣苔,物候期,花期9月
长萼鹿蹄草,生活型,常绿草本状小半灌木
长萼鹿蹄草,物候期,花期7至8月
长萼鹿蹄草,物候期,果期8至9月
长萼蛇根草,生活型,草本或亚灌木状
长萼蛇根草,物候期,花期9月
长萼石莲,生活型,多年生草本
长萼石莲,物候期,花期5至7月
长萼石竹,生活型,多年生草本
长萼石竹,物候期,花期6至8月
长萼树参,生活型,灌木或小乔木
长萼亚麻,生活型,一年生草本
长萼亚麻,物候期,花期5至6月，果期6至7月
长萼香草,生长型,簇生
长萼香草,物候期,花期5至6月
长萼香草,物候期,果期9月
长萼猪屎豆,生活型,多年生直立草本
长萼猪屎豆,物候期,花果期6至12月间
长萼越桔,物候期,花期4至5月，果期8至11月
长耳灯心草,生活型,多年生草本
长耳灯心草,物候期,花期5至6，果期7至8月
长耳膜稃草,生活型,多年生
长耳膜稃草,生长型,簇生
长耳膜稃草,物候期,花果期8至10月
长耳南星,物候期,花期5月
长稃伪针茅,生长型,顶生
长稃伪针茅,物候期,花果期9至10月
长稃异燕麦,生活型,多年生
长稃异燕麦,物候期,花期6至7月
长稃早熟禾,生活型,多年生
长稈擂鼓艻,物候期,花果期10至11月
长刚毛无心菜,生长型,对生
长刚毛无心菜,物候期,花期7至8月
长隔木属,生活型,灌木或草本
长根假毛蕨,生长型,簇生
长根大戟,生活型,多年生草本
长梗白珠,物候期,花期5至6月，果期7至8月
长根马先蒿,生活型,多年生草本
长梗常春木,生活型,常绿灌木或小乔木
长梗常春木,物候期,花期6月，果期10月
长梗赤车,生活型,多年生草本
长梗赤车,物候期,花期4月
长梗翠雀花,物候期,8月开花
长梗齿缘草,生活型,多年生草本
长梗风轮菜,生活型,多年生草本
长梗风轮菜,物候期,果期11月
长梗沟繁缕,生活型,小型一年生草本植物
长梗凤仙花,生活型,一年生草本
长梗凤仙花,物候期,果期9月
长梗附地菜,生活型,多年生草本
长梗风毛菊,生活型,多年生草本
长梗风毛菊,物候期,花果期7至10月
长梗沟瓣,生活型,乔木或灌木
长梗过路黄,生活型,一年生草本
长梗过路黄,生长型,顶生
长梗过路黄,物候期,花期5至6月，果期6至7月
长梗厚皮香,生活型,灌木或小乔木
长梗厚皮香,生活型,小枝粗壮
长梗厚皮香,物候期,果期9至11月
长梗喉毛花,生活型,一年生草本
长梗喉毛花,物候期,花果期7至10月
毛长梗黄堇,生活型,一年生或短命多年生草本
毛长梗黄堇,物候期,花果期5至9月
长序黄耆,生活型,多年生草本
长序黄耆,物候期,花期6月
长梗棘豆,生活型,多年生草本
长梗棘豆,物候期,果期8月
长梗绞股蓝,物候期,花期8月，果期10月
长梗荚蒾,物候期,花期12月，果熟期8至9月
长梗金腰,生活型,多年生草木
长梗金腰,物候期,花果期7至9月
长梗藜芦,生长型,侧生
长梗藜芦,生长型,侧生
长梗藜芦,物候期,花果期8至9月
长梗蓼,生活型,多年生草本
长梗柳,生活型,灌木或小乔木
长梗柳,生活型,当年生枝紫色
长梗漏斗苣苔,物候期,花期9月
长梗楼梯草,生活型,多年生草本
长梗楼梯草,物候期,花期8月
长梗螺序草,生活型,草本
长梗螺序草,物候期,花期4月
长梗马先蒿,物候期,花期7至8月
长梗杧果,生活型,乔木
长梗木蓝,物候期,花期8至9月，果期10至11月
长梗婆婆纳,物候期,花期7至8月
长梗雀儿豆,生活型,多年生丛生草本
长梗雀儿豆,物候期,花期7月，果期8月
长梗山麦冬,生长型,单生
长梗山麦冬,物候期,花期7月，果期8至9月
长梗蛇根草,生活型,草本
长梗蛇根草,物候期,花期4月
长梗十齿花,生活型,灌木或小乔木
长梗石柑,物候期,花期8月
长梗石蝴蝶,生活型,多年生小草本
长梗石蝴蝶,物候期,花期10月
长梗水锦树,物候期,花期2月
长梗守宫木,生长型,对生
长梗守宫木,生长型,单生
长梗薹草,物候期,花果期5至7月
长梗天胡荽,生活型,草本
长梗天胡荽,物候期,花果期6至8月
长梗鼠李,物候期,花期5至6月，果期7至10月
长梗挖耳草,生活型,陆生小草本
长梗挖耳草,物候期,花期8至9月，果期9至10月
长梗乌口树,物候期,花期6月
长梗微孔草,物候期,7月开花
长梗乌头,物候期,8月开花
长梗无心菜,生活型,一年生矮小草本
长梗无心菜,物候期,花果期7至9月
长梗蝇子草,生活型,多年生草本
长梗蝇子草,物候期,花期7月，果期8月
长梗线柱苣苔,物候期,花期7月
长梗新木姜子,生活型,乔木
长梗新木姜子,物候期,花期3至4月，果期11月
长梗玄参,生活型,多年生草本
长梗玄参,物候期,花期6至7月，果期8月
长梗崖豆藤,物候期,花期5至8月，果期7至10月
长梗岩黄树,物候期,花、果期7至10月
岩须,生长型,对生
岩须,物候期,花期4至5月，果期6至7月
长梗獐牙菜,生活型,多年生草本
长梗獐牙菜,物候期,花果期10月
长梗紫麻,生活型,大灌木或小乔木
长梗紫麻,生活型,花序生上年生枝和老枝的叶腋
长梗紫麻,生长型,簇生
长梗紫麻,物候期,花期3至5月，果期6至10月
长勾刺蒴麻,生活型,木质草本或亚灌木
长梗紫菀,生活型,多年生草本
长梗紫菀,物候期,花果期7至9月
长梗紫花堇菜,生活型,多年生草本
长梗紫花堇菜,生长型,簇生
长梗紫花堇菜,生长型,对生
长梗紫花堇菜,物候期,花期4至5月，果期6至7月
长冠越桔,生活型,常绿灌木或乔木
长冠越桔,物候期,花期4至5月，果期6至9月
长冠紫堇,生活型,无毛草本
长冠紫堇,物候期,花期7月前后
长管垂花报春,生活型,多年生草本
长管垂花报春,物候期,花期7月
长管蝙蝠草,物候期,花期8至9月，果期11月
长管大青,生活型,灌木或草本状灌木
长管大青,物候期,花果期8至11月
长管杜鹃,生长型,簇生
长管杜鹃,物候期,花期6至7月
长管萼黄耆,生活型,多年生草本
长管萼黄耆,生长型,顶生
长管萼黄耆,物候期,花期5至6月，果期7月
长管红山茶,生活型,小乔木
长管黄芩,生活型,多年生草本
长管黄芩,物候期,花期5至12月
长管瑞香,生长型,顶生
长管瑞香,物候期,花期10至11月
长管连蕊茶,生活型,灌木或小乔木
长管连蕊茶,物候期,花期10月
长管素馨,生长型,顶生
长管素馨,物候期,花期8月
长管香茶菜,生活型,直立草本
长管香茶菜,物候期,花、果期9至10月
长果报春属,生活型,多年生草本
长果茶藨子,物候期,花期5至6月，果期7至8月
长果秤锤树,生活型,乔木
长果秤锤树,生活型,当年生小枝红褐色
长果秤锤树,物候期,花期4月，果期6月
长果丛菔,生活型,多年生草本
长果丛菔,物候期,果期8月
长果大头茶,生活型,乔木
长果大头茶,物候期,花期1月
黄果厚壳桂,生活型,乔木
黄果厚壳桂,物候期,花期3至5月，果期6一12月
长果花楸,生活型,乔木或灌木
长果花楸,物候期,果期7至8月
长果姜属,生活型,多年生草本
长果姜属,生长型,侧生
长果姜,物候期,花期：10月
长果连蕊茶,物候期,花期6至7月
长蒴母草,生活型,一年生草本
长蒴母草,物候期,花期4至9月，果期6至11月
长果绿绒蒿,生活型,多年生草本
长果落新妇,生活型,多年生草本
长果落新妇,物候期,花果期7至11月
长果木棉,生活型,落叶大乔木
长果牧根草,物候期,花期7月
长果青冈,生活型,常绿乔木
黄三七,物候期,5至6月开花，7至9月结果
长果婆婆纳,物候期,花期6至8月
长果砂仁,物候期,花期：5至6月
长果砂仁,物候期,果期：6至9月
长果水苦荬,生活型,一年生草本
长果土楠,生活型,乔木
长果土楠,物候期,果期8至9月
长果微孔草,物候期,7至8月开花
长果雪胆,物候期,花期6至9月，果期8至11月
长果悬钩子,物候期,花期5至6月，果期7至8月
长果猪屎豆,生活型,草本或亚灌木
长果猪屎豆,物候期,花果期10月前后
长核果茶,生活型,乔木
大花斑叶兰,物候期,花期2至7月
长花李榄,生活型,乔木
长花李榄,物候期,花期3月
长花大油芒,生活型,多年生草本
长花大油芒,物候期,花果期7至9月
长花黄猄草,生活型,草本或亚灌木
长花厚壳树,生活型,乔木
长花厚壳树,物候期,花期4月，果期6至7月
长花黄鹌菜,生活型,一年生草本
长花黄鹌菜,物候期,花果期4至8月
长花蓝钟花,生活型,多年生草本
长花蓝钟花,生长型,簇生
长花蓝钟花,物候期,花期7至9月
长花链珠藤,物候期,花期5至8月，果期8至10月
长花柳,物候期,花期5月，果期6至7月
长花牛鞭草,生活型,多年生草本
长花牛鞭草,生长型,顶生
长花芒毛苣苔,生长型,簇生
长花芒毛苣苔,物候期,花期7月
长花秋英爵床,生活型,草本
长花忍冬,物候期,花期3至6月，果熟期10月
长花鼠尾草,生活型,多年生直立草本
长花蒲桃,生活型,乔木
长花蒲桃,物候期,花期4月
长花铁线莲,物候期,花期7月至8月，果期9月
长花天门冬,生活型,草本
毛喜光花,生长型,簇生
毛喜光花,物候期,花期2至9月，果期7至10月
长花腺萼木,物候期,花期8月，果期10月
长花羊茅,生活型,多年生
长花羊茅,物候期,花果期7至9月
长花野青茅,生活型,多年生
长花隐子草,生活型,多年生草本
长花隐子草,物候期,花果期7至9月
长花枝杜若,生活型,多年生草本
长花枝杜若,物候期,花期4月
长花轴耳草,生活型,直立无毛草本
长花轴耳草,物候期,花期5至9月
长花帚菊,物候期,花期7至8月
长花柱山矾,生活型,小乔木
长花柱山矾,物候期,花期5至6月，果期6至7月
长画眉草,生活型,多年生
长黄毛山牵牛,生活型,攀缘草本
长喙厚朴,生活型,落叶乔木
长喙厚朴,物候期,花期5至7月，果期9至10月
长喙兰,物候期,花期8至9月
长喙兰属,生活型,地生草本
长喙棘豆,生活型,多年生草本
长喙棘豆,物候期,花果期5至9月
长喙马先蒿,生活型,多年生草本
长喙马先蒿,物候期,花期7至9月，果期8月以后
长喙毛茛泽泻,生活型,多年生沼生或水生草本
长喙毛茛泽泻,物候期,花果期8至9月
长喙唐松草,物候期,6月开花
长喙乌头,物候期,7至9月开花
长荚黄耆,生活型,多年生草本
长荚黄耆,物候期,花期5至6月，果期6至8月
长戟叶蓼,生活型,一年生草本
长戟叶蓼,生长型,侧生
长假脉观音座莲,生长型,侧生
长戟橐吾,生活型,多年生草本
长戟橐吾,物候期,花期7至8月
长尖杜鹃,物候期,花期3月
上思耳草,生活型,直立无毛不分枝草本或亚灌木
上思耳草,物候期,花期6至7月
长尖连蕊茶,物候期,花期5月
长尖芒毛苣苔,物候期,花期8月
长尖突紫堇,生活型,多年生草本
长尖突紫堇,生长型,侧生
长尖突紫堇,物候期,花果期4至6月
长肩毛玉山竹,物候期,笋期7至8月
长箭叶蓼,生活型,一年生草本
长江溲疏,物候期,花期5至6月，果期8至10月
长角豆属,生活型,常绿小乔木或中等大乔木
长角豆属,生长型,簇生
长角豆,生活型,常绿乔木
长角豆,物候期,花期11月
长江蹄盖蕨,生长型,簇生
长角凤仙花,生活型,一年生草本
长角凤仙花,物候期,花期10月
长角蒲公英,生活型,多年生草本
长角蒲公英,物候期,花果期7至8月
长角肉叶荠,生活型,多年生草本
长角肉叶荠,物候期,花期7月
长角蛇根草,生活型,草本
长角蛇根草,物候期,花期4月
长距石斛,物候期,花期9至11月
长角糖芥,生活型,二年生草本
长角糖芥,物候期,花、果期6至9月
长角蝇子草,生活型,多年生草本
长角蝇子草,物候期,花期9至10月
火炬兰,物候期,花期8月
长节耳草,生活型,直立多年生草本
长节耳草,物候期,花期4至6月
长节香竹,物候期,笋期4月下旬至5月，花期5月
长茎粗筒苣苔,生活型,多年生草本
长茎粗筒苣苔,物候期,花期8月
长睫毛忍冬,物候期,花期4月下旬
抱茎柴胡,生活型,一、二年生草本
抱茎柴胡,物候期,花期8月，果期9月
空心柴胡,生活型,本变种多年生
长茎飞蓬,生活型,二年生或多年生草本
长茎飞蓬,物候期,花期7至9月
长茎藁本,生活型,多年生草本
长茎藁本,物候期,花期7至8月，果期9月
长茎鹤顶兰,物候期,花期8至10月
长茎马先蒿,生活型,一年生
长茎马先蒿,生活型,）或多年生草本
长茎马先蒿,物候期,花期9月
长茎芒毛苣苔,生长型,顶生
长茎芒毛苣苔,物候期,花期11月
长茎毛茛,生活型,多年生草本
长茎毛茛,物候期,花果期6月至8月
长茎囊瓣芹,生活型,多年生草本
长茎婆罗门参,生活型,多年生草本
长茎婆罗门参,物候期,花果期5至7月
长茎薹草,物候期,花果期5至6月
长茎无心菜,生活型,一年生草本
长茎无心菜,物候期,花期7至8月
长茎羊耳蒜,生活型,附生草本
长茎羊耳蒜,物候期,花期9至12月，果期次年1至4月
东北凤仙花,生活型,一年生草本
长距舌唇兰,物候期,花期7至9月
长距翠雀花,物候期,7至10月开花
长距虾脊兰,物候期,花期4至9月
长距堇菜,生活型,多年生草本
长距堇菜,生长型,对生
长距堇菜,物候期,花期5月中旬，果期6月
长距柳穿鱼,生活型,多年生草本
长距柳穿鱼,物候期,花期7至8月
长距美冠兰,物候期,花期4至5月，果期5至6月
陕西紫堇,生活型,无毛草本．高17至35厘米
陕西紫堇,物候期,花果期6至8月
长距舌喙兰,物候期,花期9月
长爪石斛,物候期,花期10至12月
短梗挖耳草,生活型,陆生小草本
短梗挖耳草,物候期,花期6月—次年春，果期7月—次年春
长距无柱兰,物候期,花期7月
长距玉凤花,物候期,花期6至8月
长距元胡,生活型,多年生草本
长镰羽耳蕨,生长型,簇生
长裂繁缕,生活型,多年生草本
长裂繁缕,生长型,顶生
长裂繁缕,物候期,花期4至7月
长裂胡颓子,物候期,花期9至11月
长裂太行菊,生活型,多年生草本
长裂苦苣菜,生活型,一年生草本
长裂苦苣菜,物候期,花果期6至9月
长裂藤黄,生活型,小乔木
长裂藤黄,物候期,花期4至5月，果期2至4月
长裂乌头,物候期,8月开花
长鳞耳蕨,生长型,簇生
长鳞杜鹃,生活型,常绿灌木或小乔木
长鳞杜鹃,物候期,花期6月，果期9月
长鳞红景天,生活型,多年生草本
长鳞红景天,物候期,花期6至7月，果期8月
长鳞薹草,物候期,花果期7至8月
长鳞芽杜鹃,物候期,花期3至4月
长流苏龙胆,生活型,多年生草本
长流苏龙胆,物候期,花果期8至9月
长龙骨黄耆,生活型,多年生草本
长龙骨黄耆,物候期,花期5至6月，果期6至7月
长蔓通泉草,生活型,多年生低矮草本
长蔓通泉草,生长型,簇生
长蔓通泉草,物候期,花期3至5月
长卵苞翠雀花,物候期,8月开花
长脉清风藤,物候期,花期5月，果期8至9月
长芒棒头草,生活型,一年生
长芒棒头草,物候期,花果期5至10月
长芒草,物候期,花果期6至8月
长芒草沙蚕,生活型,多年生密丛草本
长芒杜英,生活型,乔木
长芒杜英,物候期,花期8至9月，果实在冬季成熟
长芒耳蕨,生长型,簇生
长芒看麦娘,生活型,一年生
长芒看麦娘,物候期,花果期5至7月
长芒薹草,生活型,我们未见该种标本
长毛苞裂芹,生活型,多年生草本
长毛苞裂芹,物候期,花期7月，果期8月
毛八角枫,生活型,落叶小乔木
毛八角枫,生活型,当年生枝紫绿色
毛八角枫,物候期,花期5至6月，果期9月
云山八角枫,物候期,花期5月
云山八角枫,物候期,果期8月
长毛长蒴苣苔,生活型,多年生草本0茎高约9厘米
长毛长蒴苣苔,物候期,花期6至7月
长毛齿缘草,生活型,多年生草本
长毛齿缘草,物候期,花果期7至8月
长毛唇柱苣苔,生活型,多年生草本
长毛唇柱苣苔,物候期,花期5月
长毛风毛菊,生活型,多年生草本
长毛风毛菊,物候期,花果期6至8月
长毛高原芥,生活型,多年生草本
长毛高原芥,物候期,花期7月
长毛杜鹃,物候期,花期5至6月，果期9月
长毛红山茶,生活型,灌木或小乔木
长毛黄葵,生活型,多年生草本
长毛黄葵,物候期,花期5至9月
长毛梗虎耳草,生活型,多年生草本
长毛梗虎耳草,物候期,花期7至8月
两广杨桐,生活型,灌木或小乔木
两广杨桐,生活型,枝圆筒形
两广杨桐,物候期,花期5至6月，果期9至10月
大萼杨桐,物候期,花期5至7月
大萼杨桐,物候期,果期7至9月
长毛金星蕨,生长型,簇生
长毛荚黄荚,生活型,多年生草本
长毛荚黄荚,物候期,花期4至5月，果期5至6月
长毛落芒草,生活型,多年生
长毛柃,物候期,花期10至12月，果期次年6至7月
长毛婆婆纳,物候期,花期8至9月
长毛箐姑草,生活型,一年生草本
长毛箐姑草,生长型,簇生
长毛箐姑草,物候期,花期6至7月，果期8至9月
长毛山矾,生活型,乔木
长毛山矾,物候期,花果期7至11月，边开花边结果
长毛水东哥,生活型,灌木或小乔木
长毛秋海棠,生活型,多年生中型草本
长毛橐吾,生活型,多年生草本
长毛橐吾,物候期,花期7至8月
长毛香科科,生活型,多年生草本
长毛香科科,物候期,花期7至8月
长毛雪胆,生活型,多年生草质藤本
长毛雪胆,物候期,花期7至9月，果期8至10月
长毛月见草,生活型,直立二年生草本
长毛月见草,物候期,花期7至9月，果期9至10月
长毛岩须,物候期,花期5至6月，果期7至9月
长毛籽远志,生活型,灌木或小乔木
长毛籽远志,物候期,花期4至6月，果期5至7月
长毛锥花,生活型,草本
长毛锥花,物候期,花、果期10月左右
长毛紫金牛,物候期,花期6至7月，果期12月至翌年2月
长帽隔距兰,物候期,花期6月
长毛醉魂藤,物候期,花期7月，果期10月
长毛紫珠,物候期,花期10月，果期11至12月
长脐红豆,生活型,常绿乔木
长密花穗薹草,物候期,花果期5至7月
长囊毛兰,物候期,花期5月
长囊薹草,物候期,花果期4至7月
长片蕨属,生长型,簇生
澜沧黄杉,生活型,乔木
澜沧黄杉,生活型,一年生枝淡黄色或绿黄色（干时红褐色）
长匍通泉草,生活型,多年生草本
长匍通泉草,物候期,花果期5月
长前胡,生活型,多年生草本
长前胡,物候期,花期7至9月，果期9至10月
长鞘茶竿竹,物候期,笋期5月
长鞘垂头菊,生活型,多年生草本
长鞘垂头菊,物候期,花果期6至7月
东北长鞘当归,生活型,二年生草本
东北长鞘当归,物候期,花期8至9月，果期9至10月
长鞘早熟禾,生活型,多年生
长鞘早熟禾,物候期,花期7月
长鞘菹草,生活型,沉水草本
长蕊斑种草属,生活型,多年生草本
长蕊斑种草属,生长型,顶生
长柔毛野豌豆,生活型,一年生草本
长柔毛野豌豆,物候期,花果期4至10月
长蕊灯心草,生活型,多年生草本
长蕊灯心草,物候期,花期7月，果期8月
长蕊杜鹃,生活型,常绿灌木或小乔木
长蕊杜鹃,生长型,簇生
长蕊杜鹃,物候期,花期4至5月，果期7至10月
毛果长蕊杜鹃,物候期,花期4至5月，果期7至8月
长蕊琉璃草属,生活型,多年生草本
长蕊琉璃草属,生长型,顶生
长蕊琉璃草,物候期,花期4至5月，果期6至7月
长蕊含笑,生活型,乔木
长蕊含笑,物候期,花期4至5月，果期11月
长蕊红山茶,生活型,灌木或小乔木
长蕊柳,生活型,小乔木
长蕊柳,物候期,花期4至5月，果期5至6月
长蕊木兰属,生活型,乔木
长蕊木兰,生活型,乔木
长蕊木兰,物候期,花期5月，果期8至9月
长蕊木姜子,生活型,常绿乔木
长蕊青兰属,生活型,多年生草本
长蕊石头花,生活型,多年生草本
长蕊石头花,物候期,花期6至9月，果期8至10月
长蕊万寿竹,物候期,花期3至5月，果期6至11月
长蕊淫羊藿,生活型,多年生草本
长蕊淫羊藿,生长型,对生
长蕊淫羊藿,物候期,花期4月
长蕊绣线菊,生活型,枝条圆柱形
长蕊绣线菊,物候期,花期5至6月，果期7至8月
长蕊绣线菊,生活型,本种近似粉花绣线菊S.japonicaL.f.的原变种
长伞梗荚蒾,生活型,落叶灌木或小乔木
长伞梗荚蒾,生活型,当年小枝褐色
长伞梗荚蒾,物候期,花期5至6月，果熟期7至9月
长沙刚竹,物候期,两面近于无毛，惟下表面基部于中脉两侧具长柔毛笋期4月
长舌臭草,生活型,多年生
长舌臭草,生长型,顶生
长舌臭草,物候期,花期7月
长舌茶竿竹,物候期,笋期4月底
狭叶长舌茶竿竹,物候期,笋期5月中旬
长舌垂头菊,生活型,多年生草本
长舌垂头菊,物候期,花果期7至8月
长舌马先蒿,生活型,植株低矮
长舌千里光,生活型,多年生根状茎草本
长舌千里光,物候期,花期8至9月
长舌针茅,物候期,花果期6至9月
长蒴苣苔属,生活型,多年生草本
长蒴苣苔属,生长型,簇生
长蒴黄麻,生活型,木质草本
长蒴杜鹃,生长型,簇生
长蒴杜鹃,物候期,花期4月，果期11月
长蒴蚬木,生活型,常绿乔木
长蒴圆叶报春,生活型,多年生草本
长蒴圆叶报春,物候期,花期6月
长丝沿阶草,物候期,花期6至7月
长苏石斛,生活型,总状花序侧生于去年生无叶的茎上端
长苏石斛,物候期,花期6至7月，果期9至10月
长丝景天,生活型,多年生草本
长丝景天,物候期,花期9至10月，果期11月
长穗柄薹草,物候期,花果期6至8月
长穗钗子股,物候期,花期5月
长穗柽柳,生活型,大灌木
长穗柽柳,生活型,总状花序侧生在去年生枝上
长穗柽柳,物候期,春季4至5月开花
长穗腹水草,物候期,花期7至9月
长穗高山栎,生活型,常绿乔木
长穗高山栎,物候期,花期5至6月，果期10至11月
长穗虫实,物候期,花果期7至9月
长穗桦,生活型,乔木
长穗棘豆,生活型,多年生草本
长穗棘豆,物候期,花果期5至7月
长穗碱茅,生活型,多年生
长穗碱茅,物候期,花果期6至7月
长穗冷水花,生活型,多年生草本
长穗冷水花,物候期,果期1月
长穗阔蕊兰,物候期,花期9月
长穗马先蒿,物候期,花期8月
龙头草,生活型,多年生草本
龙头草,物候期,花期9月，果期9月以后
西康绣线梅,物候期,花期5至6月，果期7至9月
长穗飘拂草,物候期,花果期8至9月
长穗荠苎,生活型,一年生草本
