黄精叶钩吻,治跌打损伤   Disease:跌打损伤 
代儿茶,梅毒   Disease:梅毒 
代儿茶,麻疯等症   Disease:麻疯 
待宵草,治感冒   Disease:感冒 
待宵草,喉炎等   Disease:喉炎 
狗牙花,治眼病   Disease:眼病 
狗牙花,疮疥   Disease:疮疥 
狗牙花,乳疮   Disease:乳疮 
狗牙花,癫狗咬伤等症   Disease:癫狗咬伤 
狗牙花,治头痛和骨折等   Disease:头痛 Disease:骨折 
仪花,治跌打损伤   Disease:跌打损伤 
仪花,骨折   Disease:骨折 
仪花,风湿关节炎   Disease:风湿关节炎 
仪花,外伤出血等症   Disease:外伤出血 
单花荠,治肺咯血   Disease:肺咯血 
单花荠,并解食物中毒   Disease:解食物中毒 
单花荠,治刀伤   Disease:刀伤 
单花莸,治中暑   Disease:中暑 
单花莸,感冒   Disease:感冒 
单花莸,尿路感染   Disease:尿路感染 
单花莸,白带等症   Disease:白带 
铁破锣,治风湿感冒   Disease:风湿感冒 
铁破锣,风湿骨痛   Disease:风湿骨痛 
铁破锣,目赤肿痛等症   Disease:目赤肿痛 
单叶铁线莲,治胃痛   Disease:胃痛 
单叶铁线莲,腹痛   Disease:腹痛 
单叶铁线莲,跌打损伤   Disease:跌打损伤 
单叶铁线莲,跌扑晕厥   Disease:跌扑晕厥 
单叶铁线莲,支气管炎   Disease:支气管炎 
单叶铁线莲,治腮腺炎   Disease:腮腺炎 
单叶铁线莲,全国中草药汇编上册   Disease:全国中 Disease:药汇 Disease:上册 
单叶铁线莲,474   Disease:474 
单叶铁线莲,图489．1975)   Disease:图489 Disease:1975) 
单叶铁线莲,治气管炎   Disease:气管炎 
单叶铁线莲,疗疮肿毒   Disease:疗疮肿毒 
单叶铁线莲,跌打损伤   Disease:跌打损伤 
单叶铁线莲,江苏新医学院   Disease:江苏 Disease:医学院 
单叶铁线莲,中药大辞典   Disease:中药大辞典 
单叶铁线莲,治小儿高热惊风   Disease:小儿高热惊风 
单叶铁线莲,急慢性支气管炎   Disease:急慢性支气管炎 
单叶铁线莲,咽喉炎   Disease:咽喉炎 
单叶铁线莲,热毒疗疮   Disease:热毒疗疮 
单叶铁线莲,杭州植物园药用植物名录   Disease:杭州植物园药 Disease:植物名录 
乌檀,治急性扁桃体炎   Disease:急性扁桃体炎 
乌檀,咽喉炎及乳腺炎等   Disease:咽喉炎 Disease:乳腺炎 
弹裂碎米荠,治妇女经血不调   Disease:妇女经血不调 
当归藤,治月经不调   Disease:月经不调 
当归藤,白带   Disease:白带 
当归藤,萎黄病   Disease:萎黄病 
当归藤,不孕症等   Disease:不孕 
当归藤,有当归的作用   Disease:当归 
当归藤,故名   Disease:故名 
当归藤,广西有   Disease:广西 
当归藤,谁人懂得筛箕[/强]   Disease:谁人 Disease:得筛 Disease:[/强] 
当归藤,不愁不生养   Disease:不愁不生养 
当归藤,之说   Disease:之说 
当归藤,说明其   
皂荚,治癣之效   
土牛膝,治感冒发热   Disease:感冒发热 
土牛膝,扁桃体炎   Disease:扁桃体炎 
土牛膝,白喉   Disease:白喉 
土牛膝,流行性腮腺炎   Disease:流行性腮腺炎 
土牛膝,泌尿系结石   Disease:泌尿系结石 
土牛膝,肾炎水肿等症   Disease:肾炎水肿 
野百合,治风湿麻痹   Disease:风湿麻痹 
野百合,跌打损伤   Disease:跌打损伤 
野百合,疮毒   Disease:疮毒 
野百合,癣疥等症   Disease:癣疥 
野西瓜苗,治烫伤   Disease:烫伤 
野西瓜苗,烧伤   Disease:烧伤 
野西瓜苗,急性关节炎等   Disease:急性关节炎 
山菠菜,治淋病及瘰病   Disease:淋病 Disease:瘰病 
山菠菜,又可当茶饮   Disease:当茶 
地蚕,治跌打   Disease:跌打 
地蚕,疮毒   Disease:疮毒 
地蚕,去风毒   Disease:去风毒 
中华天胡荽,治腹痛   Disease:腹痛 
中华天胡荽,小便不利   Disease:小便不利 
中华天胡荽,湿疹等   Disease:湿疹 
地肤,治尿痛   Disease:尿痛 
地肤,尿急   
地肤,小便不利及荨麻疹   Disease:小便不利 Disease:荨麻疹 
地肤,外用   
地柑,治癫狂   
地埂鼠尾草,治肺病   Disease:肺病 
线叶山土瓜,治小儿疳积   Disease:小儿疳积 
线叶山土瓜,急   
线叶山土瓜,慢性肝炎   Disease:慢性肝炎 
线叶山土瓜,咳嗽   Disease:咳嗽 
线叶山土瓜,虚热   Disease:虚热 
线叶山土瓜,盗汗等   Disease:盗汗 
地黄连,治五痨咳嗽   Disease:五痨咳嗽 
地黄连,跌打损伤及风湿病   Disease:跌打损伤 Disease:风湿病 
地涌金莲,治白带   Disease:白带 
地涌金莲,红崩及大肠下血   Disease:红崩 Disease:大肠下血 
皱果蛇莓,治蛇咬   Disease:蛇咬 
皱果蛇莓,烫伤   Disease:烫伤 
皱果蛇莓,疗疮等病   Disease:疗疮 
地锦苗,治瘀血   Disease:瘀血 
地锦苗,根最好   
地锦苗,治跌打   Disease:跌打 
锁阳,治阳痿遗精   Disease:阳痿遗精 
锁阳,腰膝酸软   Disease:腰膝酸软 
锁阳,肠燥便秘   Disease:肠燥便秘 
锁阳,对瘫痪和改善性机能衰弱有一定的作用   Disease:瘫痪 Disease:改善性机能衰弱 
地蔷薇,治风湿性关节炎   Disease:风湿性关节炎 
钝叶黑面神,治妇科疾病   Disease:妇科疾病 
钝叶黑面神,预防流脑   Disease:预防流脑 
钝叶黑面神,治湿疹皮炎   Disease:湿疹皮炎 
钝叶黑面神,皮肤疮毒等   Disease:皮肤疮毒 
微柱麻,治胃腹疼痛等症   Disease:胃腹疼痛 
野芝麻,治子宫及泌尿系统疾患   Disease:子宫 Disease:泌尿系统疾患 
野芝麻,白带及行经困难   Disease:白带 Disease:行经困难 
野芝麻,全草用于跌打损伤   Disease:跌打损伤 
野芝麻,小儿疳积   Disease:小儿疳积 
地榆,治疗烧伤   Disease:疗烧伤 
地榆,烫伤   Disease:烫伤 
地榆,此外有些地区用来提制栲胶   Disease:此外 Disease:些地区 Disease:来提制栲胶 
地榆,嫩叶可食   
地榆,又作代茶饮   Disease:代茶饮 
滇丁香,治百日咳   Disease:百日咳 
滇丁香,慢性支气管炎   Disease:慢性支气管炎 
滇丁香,肺结核   Disease:肺结核 
滇丁香,月经不调   Disease:月经不调 
滇丁香,痛经   Disease:痛经 
滇丁香,风湿疼痛   Disease:风湿疼痛 
滇丁香,偏头疼   Disease:偏头疼 
滇丁香,尿路感染   Disease:尿路感染 
滇丁香,尿路结石   Disease:尿路结石 
滇丁香,病后头昏   Disease:病后头昏 
滇丁香,心慌   Disease:心慌 
滇丁香,治毒蛇咬伤   Disease:毒蛇咬伤 
滇桂喜鹊苣苔,治骨髓炎   Disease:骨髓炎 
滇南草乌,治风寒湿痹   Disease:风寒湿痹 
滇南草乌,中风瘫痪   Disease:中风瘫痪 
滇南草乌,跌打损伤等症   Disease:跌打损伤 
滇南草乌,云南省药品标准   Disease:云南省药 Disease:标准 
滇南冠唇花,治感冒风寒   Disease:感冒风寒 
滇南冠唇花,喘咳气急   Disease:喘咳气 
滇南冠唇花,消化不良   Disease:消化不良 
滇南冠唇花,气胀腹痛   Disease:气胀腹痛 
滇南冠唇花,肠炎痢疾   Disease:肠炎痢疾 
滇南冠唇花,小儿腹泻以及妇科腰痛   Disease:小儿腹泻 Disease:妇科腰痛 
广西芒毛苣苔,治关节炎等症   Disease:关节炎 
滇紫草属,治疗烧烫伤   Disease:疗烧烫伤 
滇紫草属,冻伤   Disease:冻伤 
滇紫草属,下肢溃疡   Disease:下肢溃疡 
滇紫草属,痈肿及湿疹   Disease:痈肿 Disease:湿疹 
滇紫草属,治麻疹痘毒   Disease:麻疹痘毒 
滇紫草属,急   
滇紫草属,慢性肝炎   Disease:慢性肝炎 
滇紫草属,绒毛膜上皮癌及便秘等症   Disease:绒毛膜上皮癌 Disease:便秘 
垫状点地梅,治肿瘤   
吊灯花,治癞癣   Disease:癞癣 
吊兰,治声音嘶哑   Disease:声音嘶哑 
吊石苣苔,治跌打损伤等症   Disease:跌打损伤 
叠裂银莲花,治烧伤等症   Disease:烧伤 
蝶须,治创伤   Disease:创伤 
蝶须,咳嗽   Disease:咳嗽 
蝶须,并作缓和剂   
丁癸草,治疔疾   Disease:疔疾 
丁癸草,和蜜捣敷   Disease:蜜捣 
乌柿,治心气痛   Disease:心气痛 
钉头果,治小儿肠胃病   Disease:小儿肠胃病 
钉头果,治肺痨   Disease:肺痨 
东方泽泻,治肾炎水肿   Disease:肾炎水肿 
东方泽泻,肾盂肾炎   Disease:肾盂肾炎 
东方泽泻,肠炎泄泻   Disease:肠炎泄泻 
东方泽泻,小便不利等症   Disease:小便不利 
东风菜,治疗蛇毒   Disease:疗蛇毒 
东风菜,效果良好   
东风菜,裴鉴等   Disease:裴鉴 
东风菜,中国药用植物志7:图350   Disease:中国药 Disease:植物 Disease:7:图35 
东风菜,1964   Disease:64 
东风菜,治风毒壅热   Disease:风毒壅热 
东风菜,头痛目眩   Disease:头痛目眩 
东风菜,肝热眼赤   Disease:肝热眼赤 
东风菜,堪入羹臛食   Disease:堪入 Disease:臛食 
冬青,治烧伤   Disease:烧伤 
冬青,下肢溃疡   Disease:下肢溃疡 
冬青,皮炎   Disease:皮炎 
冬青,湿疹   Disease:湿疹 
冬青,脚手皮裂等   Disease:脚手皮裂 
冬青,治烧伤烫伤   Disease:烧伤烫伤 
冬青,冻疮   Disease:冻疮 
冬青,乳腺炎   Disease:乳腺炎 
豆瓣绿,治风湿性关节炎   Disease:风湿性关节炎 
豆瓣绿,支气管炎   Disease:支气管炎 
豆瓣绿,治扭伤   Disease:扭伤 
豆瓣绿,骨折   Disease:骨折 
豆瓣绿,痈疮疖肿等   Disease:痈疮疖肿 
豆薯,治蚜虫有效   Disease:蚜虫有效 
杜虹花,治咳血   Disease:咳血 
杜虹花,吐血   Disease:吐血 
杜虹花,鼻出血   Disease:鼻出血 
杜虹花,创伤出血等   Disease:创伤出血 
杜虹花,《福建中草药》   Disease:《福建中 Disease:药》 
杜虹花,治风湿痛   Disease:风湿痛 
杜虹花,扭挫伤   Disease:扭挫伤 
杜虹花,喉炎   Disease:喉炎 
杜虹花,结膜炎   Disease:结膜炎 
杜虹花,《云南植物志》   Disease:《云南植物 
杜鹃,治疗内伤咳嗽   Disease:疗内伤咳嗽 
杜鹃,肾虚耳聋   Disease:肾虚耳聋 
杜鹃,月经不调   Disease:月经不调 
杜鹃,风湿等疾病   Disease:风湿 Disease:疾病 
杜若,治蛇   
杜若,虫咬伤及腰痛   Disease:虫咬伤 Disease:腰痛 
雪灵芝,治肺病并有滋补作用   Disease:肺病 Disease:滋补 
雪灵芝,土名   
短柄乌头,治感冒和头痛   Disease:感冒 Disease:头痛 
展毛短柄乌头,治风湿关节痛   Disease:风湿关节痛 
展毛短柄乌头,跌打损伤   Disease:跌打损伤 
展毛短柄乌头,外伤出血等症   Disease:外伤出血 
展毛短柄乌头,云南中草药   Disease:云南中草药 
短茎半蒴苣苔,治过敏性皮炎   Disease:过敏性皮炎 
短穗兔耳草,治高血压   Disease:高血压 
短穗兔耳草,肺病   Disease:肺病 
短穗兔耳草,肺炎等症   Disease:肺炎 
堆花小檗,治目赤   Disease:目赤 
堆花小檗,咽喉肿痛   Disease:咽喉肿痛 
堆花小檗,腹泻   Disease:腹泻 
堆花小檗,牙痛等症   Disease:牙痛 
盾果草,治咽喉痛   Disease:咽喉痛 
盾果草,治乳痛   Disease:乳痛 
盾果草,疔疮   Disease:疔疮 
盾叶莓,治腰腿酸疼   Disease:腰腿酸疼 
钝叶黄芩,治泻痢   Disease:泻痢 
钝叶黄芩,口苦   Disease:口苦 
钝叶黄芩,感冒   Disease:感冒 
钝叶柃,治胸炎   Disease:胸炎 
钝叶柃,泻痢等症   Disease:泻痢 
多裂乌头,治跌打和无名肿毒   Disease:跌打 Disease:无名肿毒 
多脉紫金牛,治腹痛   Disease:腹痛 
多脉紫金牛,便血   Disease:便血 
多伞阿魏,治心腹冷痛   Disease:心腹冷痛 
多伞阿魏,肠胃炎   Disease:肠胃炎 
多伞阿魏,关节炎等   Disease:关节炎 
多叶勾儿茶,治淋巴腺结核   Disease:淋巴腺结核 
红茎黄芩,治目热   Disease:目热 
红茎黄芩,生翳   Disease:生翳 
红茎黄芩,可退烧   Disease:退烧 
海边马兜铃,治疗咽喉肿痛   Disease:疗咽喉肿痛 
海边马兜铃,有消炎解毒之功效   Disease:消炎解毒之功效 
海芙蓉,治疗风湿疼痛和高血压等症的常用草药   Disease:疗风湿疼痛 Disease:高血压 
海金沙,治   
海金沙,通利小肠   Disease:通利小肠 
海金沙,疗伤寒热狂   Disease:疗伤寒热 
海金沙,治筋骨疼痛   Disease:筋骨疼痛 
海榄雌,治痢疾   Disease:痢疾 
海南狗牙花,治毒蛇咬伤   Disease:毒蛇咬伤 
海南狗牙花,风湿骨痛   Disease:风湿骨痛 
海南狗牙花,乳痈   Disease:乳痈 
海南狗牙花,疖肿   Disease:疖肿 
海南狗牙花,跌打瘀痛等   Disease:跌打瘀痛 
海南三七,治跌打损伤   Disease:跌打损伤 
海南香花藤,治皮肤病   Disease:皮肤病 
海桐花属,治毒蛇咬伤   Disease:毒蛇咬伤 
海桐花属,有镇痛   Disease:镇痛 
海桐花属,消炎等作用   Disease:消炎 
海州香薷,治夏月乘凉饮冷伤暑   Disease:月乘凉饮冷伤暑 
海州香薷,头痛   Disease:头痛 
海州香薷,发热   Disease:发热 
海州香薷,恶寒   Disease:恶寒 
海州香薷,无汗   Disease:无汗 
海州香薷,腹痛   Disease:腹痛 
海州香薷,吐泻   Disease:吐泻 
海州香薷,水肿   Disease:水肿 
海州香薷,脚气   Disease:脚气 
海州香薷,用量8分至2钱   Disease:量8分至 
诃子,治疗慢性痢疾的有效良药   Disease:疗慢性痢疾 Disease:效良 
诃子,治慢性咽喉炎   Disease:慢性咽喉炎 
诃子,咽喉干燥等   Disease:咽喉干燥 
紫花合掌消,治跌打损伤   Disease:跌打损伤 
紫花合掌消,四肢风湿   Disease:四肢风湿 
紫花合掌消,治蛇头疮   Disease:蛇头疮 
紫花合掌消,治鹅掌风   Disease:鹅掌风 
河边千斤拔,治风湿关节痛   Disease:风湿关节痛 
河边千斤拔,用25至50克煎汤服用   Disease:25至 Disease:0克 
正鸡纳树,治疗疟疾   Disease:疗疟疾 
正鸡纳树,能生长在海拔较高的地区   Disease:生长 Disease:高的地区 
鹤草,治痢疾   Disease:痢疾 
鹤草,肠炎   Disease:肠炎 
鹤草,蝮蛇咬伤   Disease:蝮蛇咬伤 
鹤草,挫伤   Disease:挫伤 
鹤草,扭伤等   Disease:扭伤 
狭叶蓬莱葛,治风湿骨痛   Disease:风湿骨痛 
黑蕊虎耳草,治眼病   Disease:眼病 
红背山麻杆,治风疹   Disease:风疹 
红葱,治疗心悸   Disease:疗心悸 
红葱,头晕   Disease:头晕 
红葱,外伤出血   Disease:外伤出血 
红葱,痢疾等有效   Disease:痢疾 
红茴香,治跌打   Disease:跌打 
红茴香,风湿等   Disease:风湿 
红茴香,根用量一般不超过一钱   Disease:量一般不超过一钱 
红茴香,根皮只用2分   Disease:皮只 Disease:2分 
红敷地发,治痨咳及各种疮疥   Disease:痨咳 Disease:各种疮疥 
红根草,治感冒   Disease:感冒 
红根草,咳嗽咯血   Disease:咳嗽咯血 
红根草,肠炎   Disease:肠炎 
红根草,痢疾   Disease:痢疾 
红根草,肝炎   Disease:肝炎 
红根草,风湿性关节炎   Disease:风湿性关节炎 
红根草,痛经   Disease:痛经 
红根草,白带   Disease:白带 
红根草,乳腺炎   Disease:乳腺炎 
红根草,毒蛇咬伤   Disease:毒蛇咬伤 
红根草,跌打损伤等   Disease:跌打损伤 
红根草,治菌痢   Disease:菌痢 
红根草,腹泻   Disease:腹泻 
红根草,腹痛   Disease:腹痛 
红根草,感冒   Disease:感冒 
野芋,治无名肿毒   Disease:无名肿毒 
野芋,疥疮   Disease:疥疮 
野芋,吊脚癀   Disease:吊脚癀 
野芋,大腿深部脓肿   Disease:大腿深部脓肿 
野芋,痈肿疮毒   Disease:痈肿疮毒 
野芋,虫蛇咬伤   Disease:虫蛇咬伤 
野芋,急性颈淋巴腺炎   Disease:急性颈淋巴腺炎 
野芋,贵州   Disease:贵州 
野芋,江西   Disease:江西 
疏叶当归,治州有些地区用根称   Disease:地区 
疏叶当归,猪独活   Disease:猪独活 
疏叶当归,入药   Disease:入药 
疏叶当归,也有用嫩叶作猪饲料的   Disease:嫩叶 Disease:猪饲 
红果黄肉楠,治脚癣   Disease:脚癣 
红果黄肉楠,烫火伤及痔疮等   Disease:烫火伤 Disease:痔疮 
红虎耳草,治肝炎   Disease:肝炎 
红虎耳草,胆囊炎   Disease:胆囊炎 
红虎耳草,流行性感冒等   Disease:流行性感冒 
红花琉璃草,治疗肺痨吐血和鼻出血   Disease:肺痨吐血 Disease:鼻出血 
洋紫荆,治消化不良   Disease:消化不良 
鸡蛋花,治湿热下痢和解毒   Disease:湿热下痢 Disease:解毒 
鸡蛋花,润肺   
红球姜,治肚痛   Disease:肚痛 
红球姜,腹泻   Disease:腹泻 
红球姜,并可提取芳香油作调合香精原料   Disease:提取 Disease:合香精 
小萼飞蛾藤,治咳嗽   Disease:咳嗽 
红树科,治疗范围很广   Disease:疗范围 
红树科,除作收敛剂外   Disease:收敛剂外 
红树科,又能   
红树科,治由海中毒物或动物创伤的外敷药   Disease:由海中毒物 Disease:动物创伤的 
皂柳,治风湿性关节炎   Disease:风湿性关节炎 
皂柳,图鉴   Disease:图鉴 
山乌桕,治跌打扭伤   Disease:跌打扭伤 
山乌桕,痈疮   Disease:痈疮 
山乌桕,毒蛇咬伤及便秘等   Disease:毒蛇咬伤 Disease:便秘 
红芽大戟,治水肿   Disease:水肿 
红芽大戟,腹胀急痛等症   Disease:腹胀急痛 
血苋,治吐血   Disease:吐血 
红叶藤属,治痢   
红叶藤属,假种皮可以食用   Disease:假种皮 Disease:食用 
红叶藤属,茎纤维可作绳索   Disease:纤维 Disease:绳索 
红紫珠,治妇女红   Disease:妇女红 
红紫珠,白带症   Disease:白带症 
天师栗,治胃痛和心脏方面的疾病   Disease:胃痛 Disease:心脏方面 Disease:疾病 
厚壳树,治感冒及偏头痛   Disease:感冒 Disease:偏头痛 
厚壳树,治跌打损伤   Disease:跌打损伤 
厚壳树,肿痛   Disease:肿痛 
厚壳树,骨折   Disease:骨折 
厚壳树,痛疮红肿   Disease:痛疮红肿 
厚壳树,治肠炎腹泻   Disease:肠炎腹泻 
厚藤,治风湿性腰腿痛   Disease:风湿性腰腿痛 
厚藤,腰肌劳损   Disease:腰肌劳损 
厚藤,疮疖肿痛等   Disease:疮疖肿痛 
厚叶素馨,治口腔炎   Disease:口腔炎 
忽地笑,治疗小儿麻痹后遗症的药物   Disease:疗小儿麻痹后遗症 Disease:药物 
狐臭柴,治月经不调   Disease:月经不调 
狐臭柴,清湿热解毒   Disease:清湿热解毒 
狐臭柴,治牙痛   Disease:牙痛 
胡椒科,治疾病的过程中   Disease:疾病 Disease:过程中 
胡椒科,不仅发现我国有较丰富的野生荜拔   Disease:不仅发现我国 Disease:较丰富 Disease:野生荜拔 
胡椒科,而且还发掘了的其它种类亦能   Disease:而且 Disease:发掘 
胡椒科,治疗疾病取得了一些经验   Disease:疗疾病取得了一些经验 
胡椒科,经临床证明   Disease:经临 Disease:证明 
胡椒科,不少种类都有一定的镇痛作用   Disease:不少种类 Disease:一定 Disease:镇痛 
芝麻,治疗的功效   Disease:功效 
槲蕨,治跌打损伤   Disease:跌打损伤 
槲蕨,腰膝酸痛   Disease:腰膝酸痛 
花椒,治胃腹冷痛   Disease:胃腹冷痛 
花椒,呕吐   Disease:呕吐 
花椒,泄泻   Disease:泄泻 
花椒,血吸虫   Disease:血吸虫 
花椒,蛔虫等症   Disease:蛔虫 
花葶驴蹄草,治筋骨疼痛等症   Disease:筋骨疼痛 
花葶驴蹄草,用花   
华凤仙,治肺结核   Disease:肺结核 
华凤仙,颜面及喉头肿痛   Disease:颜面 Disease:喉头肿痛 
华凤仙,热痢   Disease:热痢 
华凤仙,小便混浊   Disease:小便混浊 
华凤仙,湿热带下及痈疮肿毒等症   Disease:湿热带下 Disease:痈疮肿毒 
华幌伞枫,治疗疮及跌打   Disease:疗疮 Disease:跌打 
华山矾,治疟疾   Disease:疟疾 
华山矾,急性肾炎   Disease:急性肾炎 
华山矾,治疮疡   Disease:疮疡 
华山矾,跌打   Disease:跌打 
华山矾,治烧伤烫伤及外伤出血   Disease:烧伤烫伤 Disease:外伤出血 
华山矾,治蛇伤   Disease:蛇伤 
华山姜,治胃寒冷痛   Disease:胃寒冷痛 
华山姜,噎膈呕吐   Disease:噎膈呕吐 
华山姜,腹痛泄泻   Disease:腹痛泄泻 
华山姜,消化不良等症   Disease:消化不良 
心果小扁豆,治州民间用本种全草   Disease:州民 Disease:间用 Disease:全草 
滑叶藤,治气滞腹胀   Disease:气滞腹胀 
滑叶藤,风湿筋骨痛   Disease:风湿筋骨痛 
滑叶藤,跌打损伤   Disease:跌打损伤 
滑叶藤,治骨折   Disease:骨折 
滑叶藤,疮疖   Disease:疮疖 
滑叶藤,乳痈红肿   Disease:乳痈红肿 
滑叶藤,刀伤出血   Disease:刀伤出血 
滑叶藤,云南药用植物名录   Disease:云南药 Disease:植物名录 
画眉草,治铁打损伤   Disease:铁打损伤 
槐叶苹,治虚劳发热   Disease:虚劳发热 
槐叶苹,湿疹   Disease:湿疹 
槐叶苹,外敷   
黄皮,治腹痛   Disease:腹痛 
黄皮,胃痛   Disease:胃痛 
黄皮,感冒发热等症   Disease:感冒发热 
小黄构,治风火牙痛   Disease:风火牙痛 
小黄构,哮喘及百日咳   Disease:哮喘 Disease:百日咳 
黄花大苞姜,治蛇伤   Disease:蛇伤 
三棱枝艹杭子梢,治肠风下血   Disease:肠风下血 
三棱枝艹杭子梢,高热   Disease:高热 
三棱枝艹杭子梢,赤痢   Disease:赤痢 
三棱枝艹杭子梢,云南种子植物名录   Disease:云南 Disease:子植物名录 
三棱枝艹杭子梢,治乳腺炎   Disease:乳腺炎 
三棱枝艹杭子梢,跌打损伤   Disease:跌打损伤 
三棱枝艹杭子梢,贵州药用植物名录   Disease:贵州药 Disease:植物名录 
黄花铁线莲,治慢性风湿性关节炎等症   Disease:慢性风湿性关节炎 
黄花铁线莲,河北中药长手册   Disease:河北中药 Disease:手册 
黄花羊蹄甲,治疗痢疾   Disease:疗痢疾 
黄花羊蹄甲,亦可为溃疡外敷药   Disease:溃疡 
黄金凤,治风湿   Disease:风湿 
黄金凤,跌打和烫伤   Disease:跌打 Disease:烫伤 
黄荆,治久痢   Disease:久痢 
火索藤,治风湿性关节炎   Disease:风湿性关节炎 
黄牛木,治感冒   Disease:感冒 
黄牛木,腹泻   Disease:腹泻 
黄耆属,治沙的优良草种   Disease:优良 
黄耆属,还有少数种为有毒植物   Disease:少数 Disease:毒植物 
黄耆属,也多为富集硒或碲的醉马植物   Disease:富集 Disease:醉马植物 
黄细心,治气喘   Disease:气喘 
黄细心,黄疸病   Disease:黄疸病 
圆锥铁线莲,治恶肿   Disease:恶肿 
圆锥铁线莲,疮瘘   Disease:疮瘘 
圆锥铁线莲,蛇犬咬伤等   Disease:蛇犬咬伤 
圆锥铁线莲,中国高等植物图鉴   Disease:中国高等植物图鉴 
圆锥铁线莲,秦岭植物志   Disease:秦岭植物 
黄珠子草,治小儿疳积等   Disease:小儿疳积 
螳螂跌打,治跌打损伤   Disease:跌打损伤 
螳螂跌打,骨折   Disease:骨折 
螳螂跌打,风湿骨痛   Disease:风湿骨痛 
螳螂跌打,腰腿痛   Disease:腰腿痛 
灰毛牡荆,治胃痛   Disease:胃痛 
灰毛牡荆,治外感风寒   Disease:外感风寒 
灰毛牡荆,疟疾   Disease:疟疾 
灰毛牡荆,烧虫等   Disease:烧虫 
灰罗勒,治皮肤病   Disease:皮肤病 
灰楸,治皮肤病   Disease:皮肤病 
灰楸,治稻螟   Disease:稻螟 
灰楸,飞虱   
灰叶堇菜,治跌打损伤   Disease:跌打损伤 
会东藤,治心口痛   Disease:心口痛 
喙果黑面神,治风湿骨痛   Disease:风湿骨痛 
喙果黑面神,湿疹   Disease:湿疹 
喙果黑面神,皮炎等   Disease:皮炎 
中国无忧花,治风湿和月经过多   Disease:风湿 Disease:月经过多 
霍州油菜,治眼赤肿痛   Disease:眼赤肿痛 
台湾枇杷,治愈热病之效   Disease:愈热病 
太白棱子芹,治胃寒腹痛   Disease:胃寒腹痛 
太白棱子芹,腹胀   Disease:腹胀 
太白棱子芹,不思饮食   Disease:不思饮食 
太白棱子芹,白带   Disease:白带 
太白棱子芹,陕西太白民间   Disease:陕西太白民 
太白美花草,治小儿肺炎等症   Disease:小儿肺炎 
太白美花草,陕西中草药   Disease:陕西中草药 
三白草,治尿路感染   Disease:尿路感染 
三白草,尿路结石   Disease:尿路结石 
三白草,脚气水肿及营养性水肿   Disease:脚气水肿 Disease:营养性水肿 
三白草,治痈疮疖肿   Disease:痈疮疖肿 
三白草,皮肤湿疹等   Disease:皮肤湿疹 
硕苞蔷薇,治疗毒   Disease:疗毒 
藤山柳属,治肠痈   Disease:肠痈 
藤山柳属,背痈等疾病   Disease:背痈 Disease:疾病 
天目木姜子,治寸白虫   Disease:寸白虫 
天目木姜子,治伤筋   Disease:伤筋 
西归芹,治跌打损伤   Disease:跌打损伤 
西归芹,贫血等症   Disease:贫血 
小扁豆,治疟疾和身体虚弱   Disease:疟疾 Disease:身体虚弱 
田方骨,治跌打损伤   Disease:跌打损伤 
田方骨,骨折   Disease:骨折 
贴生石韦,治腮腺炎   Disease:腮腺炎 
贴生石韦,瘰疬   Disease:瘰疬 
条裂铁线蕨,治淋浊   Disease:淋浊 
条裂铁线蕨,淋巴结核并能镇咳   Disease:淋巴结核 Disease:镇咳 
铁线莲,治痛风   Disease:痛风 
铁线莲,虫蛇咬伤   Disease:虫蛇咬伤 
铁线莲,广西植物名录   Disease:广西植物名录 
铁仔,治风火牙痛   Disease:风火牙痛 
铁仔,咽喉痛   Disease:咽喉痛 
铁仔,脱肛   Disease:脱肛 
铁仔,子宫脱垂   Disease:子宫脱垂 
铁仔,肠炎   Disease:肠炎 
铁仔,痢疾   Disease:痢疾 
铁仔,红淋   Disease:红淋 
铁仔,风湿   Disease:风湿 
铁仔,虚劳等症   Disease:虚劳 
铁仔,治刀伤   Disease:刀伤 
通天连,治跌打   Disease:跌打 
通天连,疮疥   Disease:疮疥 
通天连,手指疮等   Disease:手指疮 
铜锤玉带草,治风湿   Disease:风湿 
铜锤玉带草,跌打损伤等   Disease:跌打损伤 
西南银莲花,治跌打损伤等症   Disease:跌打损伤 
西南银莲花,四川   Disease:四川 
西南银莲花,峨眉山   Disease:峨眉山 
头花猪屎豆,治跌打损伤   Disease:跌打损伤 
头花猪屎豆,关节肿痛等症   Disease:关节肿痛 
异色黄芩,治感冒   Disease:感冒 
异色黄芩,高热   Disease:高热 
异色黄芩,胃肠炎   Disease:胃肠炎 
异色黄芩,咽喉肿痛   Disease:咽喉肿痛 
异色黄芩,痈毒疔疮以及中耳炎   Disease:痈毒疔疮 Disease:中耳炎 
异色黄芩,滴耳   Disease:滴耳 
地盆草,治筋结   Disease:筋结 
西南风铃草,治风湿等症   Disease:风湿 
兔儿伞,治腰腿疼痛   Disease:腰腿疼痛 
兔儿伞,跌打损伤等症   Disease:跌打损伤 
橐吾属,治支气管炎   Disease:支气管炎 
橐吾属,咳喘   Disease:咳喘 
橐吾属,肺结核   Disease:肺结核 
橐吾属,咯血等症   Disease:咯血 
娃儿藤,治风湿腰痛   Disease:风湿腰痛 
娃儿藤,跌打损伤   Disease:跌打损伤 
娃儿藤,胃痛   Disease:胃痛 
