HudongItem1,relation,HudongItem2
散枝猪毛菜,basionym,散枝猪毛菜
散尾葵属,parent taxon,棕榈科
散头菊蒿,parent taxon,菊蒿属
散穗野青茅,parent taxon,野青茅属
桑寄生科,taxonomic type,桑寄生属
散生千里光,parent taxon,千里光属
散生栒子,parent taxon,栒子属
伞形科,taxonomic type,芹属
伞形紫金牛,parent taxon,紫金牛属
伞花野丁香,parent taxon,野丁香属
伞形喜冬草,parent taxon,喜冬草属
伞花石豆兰,parent taxon,石豆兰属
伞花木姜子,parent taxon,木姜子属
伞花木,parent taxon,伞花木属
伞花蔷薇,parent taxon,蔷薇属
伞花马钱,parent taxon,马钱属
伞花落地梅,parent taxon,珍珠菜属
伞花六道木,parent taxon,六道木属
伞花螺序草,parent taxon,螺序草属
伞房厚喙菊,parent taxon,厚喙菊属
三颖早熟禾,parent taxon,早熟禾属
三叶早熟禾,parent taxon,早熟禾属
三叶委陵菜,parent taxon,委陵菜属
三叶乌蔹莓,parent taxon,乌蔹莓属
三叶鼠尾草,parent taxon,鼠尾草属
三叶山香圆,parent taxon,山香圆属
三叶藤橘属,parent taxon,芸香科
三叶青藤,parent taxon,青藤属
三叶漆属,parent taxon,漆树科
三叶漆,parent taxon,三叶漆属
三叶木通,parent taxon,木通属
三叶罗伞,parent taxon,掌叶树属
三药槟榔,parent taxon,槟榔属
三叶海棠,parent taxon,苹果属
三桠乌药,parent taxon,山胡椒属
三叶荚蒾,parent taxon,荚蒾属
三星果属,parent taxon,金虎尾科
三星果,parent taxon,三星果属
三小叶碎米荠,parent taxon,碎米荠属
三叶蝶豆,parent taxon,蝶豆属
三小叶人字果,parent taxon,人字果属
三小叶翠雀花,parent taxon,翠雀属
三头薹草,parent taxon,薹草属
三歧龙胆,parent taxon,龙胆属
三球悬铃木,parent taxon,悬铃木属
三色堇,parent taxon,堇菜属
三蕊草,parent taxon,三蕊草属
三匹箭,parent taxon,天南星属
三蕊草属,parent taxon,禾本科
三脉叶荚蒾,parent taxon,荚蒾属
三芒草,parent taxon,三芒草属
三芒虎耳草,parent taxon,虎耳草属
三芒草属,taxonomic type,三芒草
三脉野木瓜,parent taxon,野木瓜属
三脉香青,parent taxon,香青属
三脉卫矛,parent taxon,卫矛属
三脉嵩草,parent taxon,嵩草属
三脉兔儿风,parent taxon,兔儿风属
三脉水丝梨,parent taxon,水丝梨属
三脉守宫木,parent taxon,守宫木属
三脉青杨,parent taxon,杨属
三裂绣线菊,parent taxon,绣线菊属
三裂延胡索,parent taxon,紫堇属
三裂蛇葡萄,parent taxon,蛇葡萄属
三裂山矾,parent taxon,山矾属
三裂毛茛,parent taxon,毛茛属
三裂叶豇豆,parent taxon,豇豆属
三裂瓜,parent taxon,三裂瓜属
三列沙拐枣,parent taxon,沙拐枣属
三列飞蛾藤,parent taxon,飞蛾藤属
三棱栎,parent taxon,三棱栎属
三角叶薯蓣,parent taxon,薯蓣属
三角叶马先蒿,parent taxon,马先蒿属
三角叶龙胆,parent taxon,龙胆属
三角叶黄连,parent taxon,黄连属
三角叶过路黄,parent taxon,珍珠菜属
三角叶风毛菊,parent taxon,风毛菊属
三角叶党参,parent taxon,党参属
三角叶山萮菜,parent taxon,山萮菜属
三角形冷水花,parent taxon,冷水花属
三角叶堇菜,parent taxon,堇菜属
三角鳞毛蕨,parent taxon,鳞毛蕨属
三角花,parent taxon,紫茉莉科
三脊金石斛,parent taxon,金石斛属
三尖杉科,taxonomic type,三尖杉属
三尖杉属,parent taxon,三尖杉科
三尖杉,parent taxon,三尖杉属
三花莸,parent taxon,四棱草属
三花悬钧子,parent taxon,悬钩子属
三尖栝楼,parent taxon,栝楼属
三尖千里光,parent taxon,千里光属
三花龙胆,parent taxon,龙胆属
三花莸,taxon synonym,三花莸
三花莸,basionym,三花莸
三齿鱼黄草,parent taxon,鱼黄草属
三出银莲花,parent taxon,银莲花属
三叉无柱兰,parent taxon,无柱兰属
三出翠雀花,parent taxon,翠雀属
三叉刺属,parent taxon,豆科
三叉刺,parent taxon,三叉刺属
三宝木,parent taxon,三宝木属
三瓣锦香草,parent taxon,锦香草属
赛木患,parent taxon,滇赤才属
赛楠,parent taxon,赛楠属
赛金刚,parent taxon,雪胆属
赛黑桦,parent taxon,桦木属
赛金莲木,taxon synonym,赛金莲木
赛北紫堇,parent taxon,紫堇属
赛葵,parent taxon,赛葵属
赛短花润楠,parent taxon,润楠属
赛楠属,parent taxon,樟科
雾冰藜属,taxon synonym,棉藜属
雾灵沙参,parent taxon,沙参属
雾冰藜属,taxon synonym,地肤属
雾水葛,parent taxon,雾水葛属
雾水葛属,parent taxon,荨麻科
雾冰藜属,taxon synonym,兜藜属
雾灵风毛菊,parent taxon,风毛菊属
勿忘草,parent taxon,勿忘草属
雾灵香花芥,parent taxon,香花芥属
雾冰藜,taxon synonym,雾冰藜
舞花姜,parent taxon,舞花姜属
婺源安息香,parent taxon,安息香属
舞鹤草,parent taxon,舞鹤草属
武夷小檗,parent taxon,小檗属
武夷山玉山竹,parent taxon,玉山竹属
武夷山鳞毛蕨,parent taxon,鳞毛蕨属
武隆前胡,parent taxon,前胡属
武功山飘拂草,parent taxon,飘拂草属
武功山冬青,parent taxon,冬青
武都荛花,parent taxon,荛花属
五掌楠,parent taxon,新木姜子属
五柱滇山茶,parent taxon,山茶属
五柱茶,parent taxon,山茶属
五叶异木患,parent taxon,异木患属
五月艾,parent taxon,蒿属
五月茶,parent taxon,五月茶属
五叶拉拉藤,parent taxon,拉拉藤属
五叶悬钩子,parent taxon,悬钩子属
五叶铁线莲,parent taxon,铁线莲属
五叶薯蓣,parent taxon,薯蓣属
五叶龙胆,parent taxon,龙胆属
五叶山莓草,parent taxon,山莓草属
五叶鸡爪茶,parent taxon,悬钩子属
五台山益母草,parent taxon,益母草属
五星花,parent taxon,五星花属
五台山延胡索,parent taxon,紫堇属
五雄白珠,parent taxon,白珠树属
五味子,parent taxon,五味子属
五数苣苔,parent taxon,四数苣苔属
五台山棘豆,parent taxon,棘豆属
五室连蕊茶,parent taxon,山茶属
五室金花茶,parent taxon,山茶属
五室火绳,parent taxon,火绳树属
五蕊五月茶,parent taxon,五月茶属
五裂悬钩子,parent taxon,悬钩子属
五岭细辛,parent taxon,细辛属
五稜水蜡烛,parent taxon,水蜡烛属
五稜藨草,parent taxon,藨草属
五脊毛兰,parent taxon,毛兰属
五萼冷水花,parent taxon,冷水花属
五加,parent taxon,五加属
五果翠雀花,parent taxon,翠雀属
五蒂柿,parent taxon,柿
五刺金鱼藻,parent taxon,金鱼藻属
五福花鼠尾草,parent taxon,鼠尾草属
五加科,taxonomic type,楤木属
蜈蚣兰,parent taxon,隔距兰属
五瓣子楝树,parent taxon,子楝树属
五瓣杨,parent taxon,杨属
五瓣红山茶,parent taxon,山茶属
梧桐,parent taxon,梧桐属
吴茱萸五加,parent taxon,五加属
芜菁叶艾纳香,parent taxon,艾纳香属
芜菁还阳参,parent taxon,还阳参属
吴茱萸,parent taxon,吴茱萸属
吴兴铁线莲,parent taxon,铁线莲属
吴氏蛇根草,parent taxon,蛇根草属
无髭毛建草,parent taxon,青兰属
无爪虎耳草,parent taxon,虎耳草属
无缨橐吾,parent taxon,橐吾属
无叶沙拐枣,parent taxon,沙拐枣属
无腺杨桐,parent taxon,杨桐属
无尾水筛,parent taxon,水筛属
无尾尖龙胆,parent taxon,龙胆属
无味薹草,parent taxon,薹草属
无舌三肋果,parent taxon,三肋果属
无毛叶风毛菊,parent taxon,风毛菊属
无饰无心菜,parent taxon,无心菜属
无毛乌头,parent taxon,乌头属
无毛青藤,parent taxon,青藤属
无脉薹草,parent taxon,薹草属
无芒鹅观草,parent taxon,鹅观草属
无鳞蝇子草,parent taxon,蝇子草属
无鳞罗汉果,parent taxon,罗汉果属
无距花,parent taxon,无距花属
无茎粟米草,parent taxon,粟米草属
无距耧斗菜,parent taxon,耧斗菜属
无距凤仙花,parent taxon,凤仙花属
无距花属,parent taxon,野牡丹科
无茎盆距兰,parent taxon,盆距兰属
无距角盘兰,parent taxon,角盘兰属
无茎条果芥,parent taxon,条果芥属
无茎雀儿豆,parent taxon,雀儿豆属
无茎刺葵,parent taxon,刺葵属
无角蒲公英,parent taxon,蒲公英
无喙天麻,parent taxon,天麻属
无患子叶崖豆藤,parent taxon,崖豆藤属
无梗艾纳香,parent taxon,艾纳香属
无根藤属,parent taxon,樟科
无根草,parent taxon,无根藤属
无刚毛赤箭莎,parent taxon,赤箭莎属
无刺金合欢,parent taxon,金合欢
无刺菝葜,parent taxon,菝葜属
无翅秋海棠,parent taxon,秋海棠属
无翅猪毛菜,parent taxon,猪毛菜属
无翅兔儿风,parent taxon,兔儿风属
无齿鸢尾兰,parent taxon,鸢尾兰属
无翅参薯,parent taxon,薯蓣属
无齿毛蕊茶,parent taxon,山茶属
无柄鳞毛蕨,parent taxon,鳞毛蕨属
无苞香蒲,parent taxon,香蒲属
无柄金丝桃,parent taxon,金丝桃属
无柄扁担杆,parent taxon,扁担杆属
无苞双脊荠,parent taxon,双脊荠属
无苞楼梯草,parent taxon,楼梯草属
无苞繁缕,parent taxon,繁缕属
无苞粗叶木,parent taxon,粗叶木属
无苞杓兰,parent taxon,杓兰属
无瓣繁缕,parent taxon,繁缕属
无斑梅花草,parent taxon,梅花草属
无斑虎耳草,parent taxon,虎耳草属
屋根草,parent taxon,还阳参属
污毛香青,parent taxon,香青属
污泥蓼,parent taxon,蓼属
污色蝇子草,parent taxon,蝇子草属
巫山繁缕,parent taxon,繁缕属
乌竹,parent taxon,刚竹属
乌叶竹,parent taxon,簕竹属
乌叶秋海棠,parent taxon,秋海棠属
乌药,parent taxon,山胡椒属
乌芽竹,parent taxon,刚竹属
乌心楠,parent taxon,楠属
乌头叶蛇葡萄,parent taxon,蛇葡萄属
污花风毛菊,parent taxon,风毛菊属
乌檀,parent taxon,乌檀属
乌苏里早熟禾,parent taxon,早熟禾属
乌苏里鸢尾,parent taxon,鸢尾属
乌恰贝母,parent taxon,贝母属
乌恰风毛菊,parent taxon,风毛菊属
乌恰顶冰花,parent taxon,顶冰花属
乌蒙小檗,parent taxon,小檗属
乌蒙杓兰,parent taxon,杓兰属
乌梅,parent taxon,李属
乌卢套棘豆,parent taxon,棘豆属
乌奴龙胆,parent taxon,龙胆属
乌拉草,parent taxon,薹草属
乌库早熟禾,parent taxon,早熟禾属
乌克兰酸模,parent taxon,酸模属
乌桕属,parent taxon,大戟科
乌口树属,parent taxon,茜草科
乌荆子李,parent taxon,李属
乌姜,parent taxon,姜属
乌拉绣线菊,parent taxon,绣线菊属
乌岗姆鹅观草,parent taxon,鹅观草属
乌冈栎,parent taxon,栎属
乌饭叶菝葜,parent taxon,菝葜属
卧龙斑叶兰,parent taxon,斑叶兰属
卧茎夜来香,parent taxon,夜来香属
卧生水柏枝,parent taxon,水柏枝属
蜗儿菜,parent taxon,水苏属
窝竹,parent taxon,箭竹属
莴笋花,parent taxon,闭鞘姜属
倭竹属,parent taxon,禾本科
莴苣叶紫云菜,parent taxon,马蓝属
沃京雀麦,parent taxon,雀麦属
倭竹,parent taxon,倭竹属
汶川无尾果,parent taxon,无尾果属
汶川娃儿藤,parent taxon,娃儿藤属
蚊子草,parent taxon,蚊子草属
蚊母草,parent taxon,婆婆纳属
纹果紫堇,parent taxon,紫堇属
纹苞菊,parent taxon,纹苞菊属
纹苞菊属,parent taxon,菊科
纹苞风毛菊,parent taxon,风毛菊属
文县卫矛,parent taxon,卫矛属
文县楼梯草,parent taxon,楼梯草属
文水野丁香,parent taxon,野丁香属
文竹,parent taxon,天门冬属
文山雪胆,parent taxon,雪胆属
文山石仙桃,parent taxon,石仙桃属
文山蛇根草,parent taxon,蛇根草属
文山山矾,parent taxon,山矾属
文山润楠,parent taxon,润楠属
文山八角,parent taxon,八角属
文冠果,parent taxon,文冠果属
文山鹅掌柴,parent taxon,鹅掌柴属
文山鹤顶兰,parent taxon,鹤顶兰属
文旦,parent taxon,柑橘属
文山粗叶木,parent taxon,粗叶木属
温州冬青,parent taxon,冬青
温州长蒴苣苔,parent taxon,长蒴苣苔属
温泉棘豆,parent taxon,棘豆属
温泉翠雀花,parent taxon,翠雀属
魏氏马先蒿,parent taxon,马先蒿属
蝟菊属,parent taxon,菊科
猬状虎耳草,parent taxon,虎耳草属
苇状羊茅,parent taxon,羊茅属
苇状看麦娘,parent taxon,看麦娘属
苇状雀麦,parent taxon,雀麦属
苇菅,parent taxon,菅属
委陵菜,parent taxon,委陵菜属
苇谷草属,parent taxon,菊科
尾叶紫薇,parent taxon,紫薇属
尾叶紫金牛,parent taxon,紫金牛属
尾叶珠子木,parent taxon,珠子木属
尾叶远志,basionym,尾叶远志
尾叶异形木,parent taxon,异形木属
尾叶血桐,parent taxon,血桐属
尾叶悬钩子,parent taxon,悬钩子属
尾叶石韦,parent taxon,石韦属
尾叶芒毛苣苔,parent taxon,芒毛苣苔属
尾叶猫乳,parent taxon,猫乳属
尾叶瘤足蕨,parent taxon,瘤足蕨科
尾叶黄芩,parent taxon,黄芩属
尾叶槐,parent taxon,槐属
尾叶木犀榄,parent taxon,木犀榄属
尾叶风毛菊,parent taxon,风毛菊属
尾囊草,parent taxon,尾囊草属
尾尖茴芹,parent taxon,茴芹属
尾丝钻柱兰,parent taxon,钻柱兰属
尾裂翠雀花,parent taxon,翠雀属
尾花细辛,parent taxon,细辛属
尾尖石仙桃,parent taxon,石仙桃属
尾尖风毛菊,parent taxon,风毛菊属
尾囊草属,parent taxon,毛茛科
尾稃草属,parent taxon,禾本科
尾稃臂形草,parent taxon,臂形草属
尾稃草,parent taxon,尾稃草属
尾萼无叶兰,parent taxon,无叶兰属
尾萼山梅花,parent taxon,山梅花属
尾萼蔷薇,parent taxon,蔷薇属
尾萼开口箭,parent taxon,开口箭属
尾萼卷瓣兰,parent taxon,石豆兰属
尾苞紫云菜,parent taxon,马蓝属
尾瓣舌唇兰,parent taxon,舌唇兰属
伪针茅,parent taxon,伪针茅属
伪针茅属,parent taxon,禾本科
维西花楸,parent taxon,花楸属
巍山香科科,parent taxon,香科科属
巍山茴芹,parent taxon,茴芹属
维西凤仙花,parent taxon,凤仙花属
巍山黄芩,parent taxon,黄芩属
维氏马先蒿,parent taxon,马先蒿属
维登早熟禾,parent taxon,早熟禾属
微籽龙胆,parent taxon,龙胆属
微柱麻属,parent taxon,荨麻科
微柱麻,parent taxon,微柱麻属
维西风毛菊,parent taxon,风毛菊属
维西堇菜,parent taxon,堇菜属
微硬毛建草,parent taxon,青兰属
微药獐毛,parent taxon,獐毛属
微药野青茅,parent taxon,野青茅属
微药羊茅,parent taxon,羊茅属
微序楼梯草,parent taxon,楼梯草属
微形龙胆,parent taxon,龙胆属
微毛山矾,parent taxon,山矾属
微毛楼梯草,parent taxon,楼梯草属
微毛茴芹,parent taxon,茴芹属
微毛圆唇苣苔,parent taxon,圆唇苣苔属
微毛忍冬,parent taxon,忍冬属
微脉冬青,parent taxon,冬青
微绒毛凤仙花,parent taxon,凤仙花属
微鳞楼梯草,parent taxon,楼梯草属
微毛鹅观草,parent taxon,鹅观草属
微孔草属,parent taxon,紫草科
微晶楼梯草,parent taxon,楼梯草属
微尖苞黄芩,parent taxon,黄芩属
微花藤属,parent taxon,茶茱萸科
微花藤,parent taxon,微花藤属
微花连蕊茶,parent taxon,山茶属
微虎耳草,parent taxon,虎耳草属
微果草属,parent taxon,车前科
微萼凤仙花,parent taxon,凤仙花属
微果草属,parent taxon,透骨草科
威宁小檗,parent taxon,小檗属
望天树,parent taxon,柳安属
威海鼠尾草,parent taxon,鼠尾草属
望谟崖摩,parent taxon,崖摩属
菵草,parent taxon,菵草属
网籽柳叶菜,parent taxon,柳叶菜属
网子度量草,parent taxon,度量草属
网籽草,parent taxon,网籽草属
网脉小檗,parent taxon,小檗属
网脉野桐,parent taxon,野桐属
网脉酸藤子,parent taxon,酸藤子属
网脉橐吾,parent taxon,橐吾属
网脉栒子,parent taxon,栒子属
网脉守宫木,parent taxon,守宫木属
网脉柿,parent taxon,柿
网脉悬钩子,parent taxon,悬钩子属
网脉十大功劳,parent taxon,十大功劳属
网脉葡萄,parent taxon,葡萄属
网脉柳兰,basionym,网脉柳兰
网脉肉托果,parent taxon,肉托果属
网果酸模,parent taxon,酸模属
网络崖豆藤,parent taxon,崖豆藤属
网果筋骨草,parent taxon,筋骨草属
网苞蒲公英,parent taxon,蒲公英
王棕属,parent taxon,棕榈科
网果珍珠茅,parent taxon,珍珠茅属
王瓜,parent taxon,栝楼属
万丈深,parent taxon,还阳参属
万源小檗,parent taxon,小檗属
万寿竹,parent taxon,万寿竹属
晚花大丁草,parent taxon,大丁草属
晚红瓦松,parent taxon,瓦松属
弯锥香茶菜,parent taxon,香茶菜属
豌豆根紫堇,parent taxon,紫堇属
弯枝锦鸡儿,parent taxon,锦鸡儿属
弯羽鳞毛蕨,parent taxon,鳞毛蕨属
弯叶鸢尾,parent taxon,鸢尾属
弯叶嵩草,parent taxon,嵩草属
弯叶龙胆,parent taxon,龙胆属
弯药龙胆,parent taxon,龙胆属
弯尾冬青,parent taxon,冬青
弯穗狗牙根,parent taxon,狗牙根属
弯茎龙胆,parent taxon,龙胆属
弯距翠雀花,parent taxon,翠雀属
弯角四齿芥,parent taxon,四齿芥属
弯芒乱子草,parent taxon,乱子草属
弯喙乌头,parent taxon,乌头属
弯花筋骨草,parent taxon,筋骨草属
弯茎还阳参,parent taxon,还阳参属
弯花点地梅,parent taxon,点地梅属
弯果小檗,parent taxon,小檗属
弯花叉柱花,parent taxon,叉柱花属
弯萼金丝桃,parent taxon,金丝桃属
弯梗紫金牛,parent taxon,紫金牛属
弯刺蔷薇,parent taxon,蔷薇属
弯梗芥,parent taxon,弯梗芥属
弯梗紫堇,parent taxon,紫堇属
弯齿风毛菊,parent taxon,风毛菊属
弯梗菝葜,parent taxon,菝葜属
弯齿盾果草,parent taxon,盾果草属
弯苞大丁草,parent taxon,大丁草属
瓦氏卷柏,parent taxon,卷柏
瓦氏凤仙花,parent taxon,凤仙花属
瓦山野丁香,parent taxon,野丁香属
瓦屋山悬钩子,parent taxon,悬钩子属
瓦迪早熟禾,parent taxon,早熟禾属
多子无心菜,parent taxon,无心菜属
洼瓣花属,parent taxon,百合科
洼皮冬青,parent taxon,冬青
朵花椒,parent taxon,花椒
娃儿藤,parent taxon,娃儿藤属
多籽五层龙,parent taxon,五层龙属
多籽乌口树,parent taxon,乌口树属
多籽车前,parent taxon,车前属
多柱无心菜,parent taxon,无心菜属
多枝青兰,parent taxon,青兰属
多枝柳穿鱼,parent taxon,柳穿鱼属
多枝乱子草,parent taxon,乱子草属
多枝楼梯草,parent taxon,楼梯草属
多枝马先蒿,parent taxon,马先蒿属
多枝赖草,parent taxon,赖草属
多枝棘豆,parent taxon,棘豆属
多枝龙胆,parent taxon,龙胆属
多枝翠雀花,parent taxon,翠雀属
多枝扁莎,parent taxon,莎草属
多育星宿菜,parent taxon,珍珠菜属
多枝臂形草,parent taxon,臂形草属
多叶香茶菜,parent taxon,香茶菜属
多叶唐松草,parent taxon,唐松草属
多叶锦鸡儿,parent taxon,锦鸡儿属
多叶委陵菜,parent taxon,委陵菜属
多叶蓼,parent taxon,蓼属
多叶花椒,parent taxon,花椒
多叶虎耳草,parent taxon,虎耳草属
多叶棘豆,parent taxon,棘豆属
多叶葶苈,parent taxon,葶苈属
多叶鹅掌柴,parent taxon,鹅掌柴属
多叶鹅观草,parent taxon,鹅观草属
多序楼梯草,parent taxon,楼梯草属
多须公,parent taxon,泽兰属
多腺小米草,parent taxon,小米草属
多头麻花头,parent taxon,麻花头属
多穗香茶菜,parent taxon,香茶菜属
多葶蒲公英,parent taxon,蒲公英
多头风毛菊,parent taxon,风毛菊属
多穗蓼,taxon synonym,多穗蓼
多穗兰,parent taxon,多穗兰属
多穗金粟兰,parent taxon,金粟兰属
多穗姜,parent taxon,姜属
多室八角金盘,parent taxon,八角金盘属
多头委陵菜,parent taxon,委陵菜属
多穗蓼,replaced synonym (for nom. nov.),多穗蓼
多舌飞蓬,parent taxon,飞蓬属
多蕊蛇菰,parent taxon,蛇菰属
多蕊肖菝葜,parent taxon,肖菝葜属
多蕊木,parent taxon,鹅掌柴属
多蕊木属,parent taxon,五加科
多蕊金丝桃,parent taxon,金丝桃属
多毛叶薯蓣,parent taxon,薯蓣属
多毛羊奶子,parent taxon,胡颓子属
多毛悬钩子,parent taxon,悬钩子属
多毛玉叶金花,parent taxon,玉叶金花属
多毛箬竹,parent taxon,箬竹属
多毛沙参,parent taxon,沙参属
多毛荛花,parent taxon,荛花属
多毛秋海棠,parent taxon,秋海棠属
多毛蒲公英,parent taxon,蒲公英
多毛坡垒,parent taxon,坡垒属
多毛铃子香,parent taxon,铃子香属
多毛假水苏,parent taxon,假水苏属
多毛椴,parent taxon,椴树属
多芒莠竹,parent taxon,莠竹属
多脉紫云菜,parent taxon,马蓝属
多脉紫金牛,parent taxon,紫金牛属
多脉早熟禾,parent taxon,早熟禾属
多脉玉叶金花,parent taxon,玉叶金花属
多脉茵芋,parent taxon,茵芋属
多脉青冈,instance of,栎属
多脉猫乳,parent taxon,猫乳属
多脉润楠,parent taxon,润楠属
多脉木奶果,parent taxon,木奶果属
多脉茜草,parent taxon,茜草属
多脉楼梯草,parent taxon,楼梯草属
多脉荩草,parent taxon,荩草属
多脉寄生藤,parent taxon,寄生藤属
多脉七叶树,parent taxon,七叶树属
多脉胡椒,parent taxon,胡椒属
多脉南星,parent taxon,天南星属
多脉瓜馥木,parent taxon,瓜馥木属
多脉凤仙花,parent taxon,凤仙花属
多脉鹅耳枥,parent taxon,鹅耳枥属
多脉鹅掌柴,parent taxon,鹅掌柴属
多脉冬青,parent taxon,冬青
多脉暗罗,parent taxon,暗罗属
多裂乌头,parent taxon,乌头属
多裂叶荆芥,parent taxon,裂叶荆芥属
多裂熏倒牛,parent taxon,熏倒牛属
多裂鱼黄草,parent taxon,鱼黄草属
多裂委陵菜,parent taxon,委陵菜属
多裂蒲公英,parent taxon,蒲公英
多裂南星,parent taxon,天南星属
多裂叶水芹,parent taxon,水芹属
多裂骆驼蓬,parent taxon,骆驼蓬属
多裂千里光,parent taxon,千里光属
多裂金盏苣苔,parent taxon,金盏苣苔属
多裂黄鹌菜,parent taxon,黄鹌菜属
多裂阴地蕨,parent taxon,阴地蕨属
多裂独活,parent taxon,独活属
多孔茨藻,parent taxon,茨藻属
多茎獐牙菜,parent taxon,獐牙菜属
多茎香青,parent taxon,香青属
多茎还阳参,parent taxon,还阳参属
多节早熟禾,parent taxon,早熟禾属
多节野古草,parent taxon,野古草属
多节雀麦,parent taxon,雀麦属
多节青兰,parent taxon,青兰属
多花沿阶草,parent taxon,沿阶草属
多花野牡丹,parent taxon,野牡丹属
多花栒子,parent taxon,栒子属
多花羊蹄甲,parent taxon,羊蹄甲属
多花香茶菜,parent taxon,香茶菜属
多花楔翅藤,parent taxon,楔翅藤属
多花五月茶,parent taxon,五月茶属
多花乌头,parent taxon,乌头属
多花碎米荠,parent taxon,碎米荠属
多花藤山柳,parent taxon,藤山柳属
多花酸藤子,parent taxon,酸藤子属
多花素馨,parent taxon,素馨属
多花水苋,parent taxon,水苋菜属
多花芍药,parent taxon,芍药属
多花珊瑚苣苔,parent taxon,珊瑚苣苔属
多花山姜,parent taxon,山姜属
多花马先蒿,parent taxon,马先蒿属
多花苓菊,parent taxon,苓菊属
多花孟兰,parent taxon,盂兰属
多花马鞍树,parent taxon,马鞍树属
多花毛茛,parent taxon,毛茛属
多花距药姜,parent taxon,距药姜属
多花堇菜,parent taxon,堇菜属
多花金叶树,parent taxon,金叶树属
多花筋骨草,parent taxon,筋骨草属
多花龙胆,parent taxon,龙胆属
多花剪股颖,parent taxon,剪股颖属
多花棘豆,parent taxon,棘豆属
多花黄精,parent taxon,黄精属
多花胡枝子,parent taxon,胡枝子属
多花蒿,parent taxon,蒿属
多花大黄连刺,parent taxon,小檗属
多花丁公藤,parent taxon,丁公藤属
多花大沙叶,parent taxon,大沙叶属
多花地宝兰,parent taxon,地宝兰属
多花灯心草,parent taxon,灯心草属
多花丛菔,parent taxon,丛菔属
多花脆兰,parent taxon,脆兰属
多花刺头菊,parent taxon,刺头菊属
多花百日菊,parent taxon,百日菊属
多花贝母兰,parent taxon,贝母兰属
多痕密花树,parent taxon,密花树属
多核果,parent taxon,多核果属
多核鹅掌柴,parent taxon,鹅掌柴属
多核冬青,parent taxon,冬青
多根乌头,parent taxon,乌头属
多秆鹅观草,parent taxon,鹅观草属
多刺天门冬,parent taxon,天门冬属
多刺锦鸡儿,parent taxon,锦鸡儿属
多萼茶,parent taxon,山茶属
多对花楸,parent taxon,花楸属
多齿紫珠,parent taxon,紫珠属
多齿悬钩子,parent taxon,悬钩子属
多辐线溲疏,parent taxon,溲疏属
多齿马先蒿,parent taxon,马先蒿属
多齿红山茶,parent taxon,山茶属
多齿吊石苣苔,parent taxon,吊石苣苔属
多变早熟禾,parent taxon,早熟禾属
多变丝瓣芹,parent taxon,丝瓣芹属
多变花楸,parent taxon,花楸属
多变鹅观草,parent taxon,鹅观草属
多苞冷水花,parent taxon,冷水花属
多瓣核果茶属,parent taxon,山茶科
多苞藁本,parent taxon,藁本属
多苞斑种草,parent taxon,斑种草属
多瓣核果茶,parent taxon,多瓣核果茶属
多斑鸢尾,parent taxon,鸢尾属
多苞千里光,parent taxon,千里光属
多瓣糙果茶,parent taxon,山茶属
多苞糙果茶,parent taxon,山茶属
多斑豹子花,parent taxon,豹子花属
钝颖落芒草,parent taxon,落芒草属
钝叶菹草,parent taxon,眼子菜属
钝叶折柄茶,parent taxon,折柄茶属
钝叶眼子菜,parent taxon,眼子菜属
钝叶鱼木,parent taxon,鱼木属
钝叶沿阶草,parent taxon,沿阶草属
钝叶栒子,parent taxon,栒子属
钝叶猪毛菜,parent taxon,猪毛菜属
钝叶旋覆花,parent taxon,旋复花属
钝叶新木姜子,parent taxon,新木姜子属
钝叶酸模,parent taxon,酸模属
钝叶毛兰,parent taxon,毛兰属
钝叶木姜子,parent taxon,木姜子属
钝叶黑面神,parent taxon,黑面神属
钝叶厚壳桂,parent taxon,厚壳桂属
钝叶黄芩,parent taxon,黄芩属
钝叶楼梯草,parent taxon,楼梯草属
钝叶卷柏,parent taxon,卷柏
钝叶金合欢,parent taxon,金合欢
钝叶桂,parent taxon,樟属
钝叶短柱茶,parent taxon,山茶属
钝叶独活,parent taxon,独活属
钝叶独行菜,parent taxon,独行菜属
钝叶臭黄荆,parent taxon,豆腐柴属
钝叶草属,parent taxon,禾本科
钝叶草,parent taxon,钝叶草属
钝叶扁担杆,parent taxon,扁担杆属
钝药野木瓜,parent taxon,野木瓜属
钝萼附地菜,parent taxon,附地菜属
钝萼野靛棵,parent taxon,野靛棵属
钝齿小米草,parent taxon,小米草属
钝齿阴地蕨,parent taxon,阴地蕨属
钝齿楼梯草,parent taxon,楼梯草属
钝齿冷水花,parent taxon,冷水花属
钝萼铁线莲,parent taxon,铁线莲属
钝齿花楸,parent taxon,花楸属
钝齿后蕊苣苔,parent taxon,后蕊苣苔属
钝背草属,parent taxon,紫草科
钝背草,parent taxon,钝背草属
钝苞一枝黄花,parent taxon,一枝黄花属
钝苞大丁草,parent taxon,大丁草属
钝苞雪莲,parent taxon,风毛菊属
钝瓣小芹,parent taxon,小芹属
钝瓣顶冰花,parent taxon,顶冰花属
盾座苣苔属,parent taxon,苦苣苔科
盾座苣苔,parent taxon,盾座苣苔属
盾柱木,parent taxon,盾柱木属
盾叶半夏,parent taxon,半夏属
盾基冷水花,parent taxon,冷水花属
盾果草属,parent taxon,紫草科
盾果草,parent taxon,盾果草属
盾萼紫堇,parent taxon,紫堇属
盾萼凤仙花,parent taxon,凤仙花属
