HudongItem,relation,NewNode
虎斑兜兰,taxon rank,种
蝴蝶藤,taxon rank,种
蝴蝶树,taxon rank,种
蝴蝶兰,taxon rank,属
蝴蝶花,taxon rank,种
蝴蝶果属,taxon rank,属
蝴蝶果,taxon rank,种
虎耳草属,taxonomic type,Saxifraga granulata
虎耳草科,parent taxon,虎耳草目
虎耳草,topic's main category,Category:Saxifraga stolonifera
虎刺属,topic's main category,Category:Damnacanthus
花,different from,flowering plant
蝴蝶草属,instance of,生物分类单元
槲叶雪兔子,instance of,生物分类单元
槲树,instance of,生物分类单元
槲栎,instance of,生物分类单元
槲蕨,instance of,生物分类单元
槲寄生属,instance of,生物分类单元
葫芦属,instance of,生物分类单元
葫芦叶马兜铃,instance of,生物分类单元
虎斑兜兰,parent taxon,兜兰属
蝴蝶藤,parent taxon,西番莲属
蝴蝶兰,parent taxon,Aeridinae
虎耳草属,topic's main category,Category:虎耳草属
花,on focus list of Wikimedia project,Wikipedia:基础条目
蝴蝶草属,taxon rank,属
槲叶雪兔子,taxon rank,种
槲树,taxon rank,种
槲栎,taxon rank,种
槲蕨,taxon rank,种
槲寄生属,taxon rank,属
葫芦属,taxon rank,属
葫芦叶马兜铃,taxon rank,种
蝴蝶树,IUCN conservation status,易危物种
蝴蝶兰,uses,景天酸代谢
蝴蝶花,has fruit type,蒴果
蝴蝶果属,topic's main category,Category:Cleidiocarpon
蝴蝶果,IUCN conservation status,易危物种
虎耳草属,described by source,Nordisk familjebok
虎耳草科,has fruit type,蒴果
葫芦树,instance of,生物分类单元
葫芦科,instance of,生物分类单元
葫芦茎虾脊兰,instance of,生物分类单元
葫芦茶属,instance of,生物分类单元
葫芦果山矾,instance of,生物分类单元
葫芦茶,instance of,生物分类单元
葫芦草,instance of,生物分类单元
葫芦,instance of,生物分类单元
槲蕨,parent taxon,Drynaria
葫芦属,parent taxon,Benincaseae
蝴蝶兰,topic's main category,Category:Phalaenopsis
蝴蝶花,topic's main category,Category:Iris japonica
虎耳草科,topic's main category,Category:虎耳草科
葫芦树,taxon rank,种
葫芦科,taxon rank,科
葫芦茎虾脊兰,taxon rank,种
葫芦茶属,taxon rank,属
葫芦果山矾,taxon rank,种
葫芦茶,taxon rank,种
葫芦草,taxon rank,种
葫芦,taxon rank,种
蝴蝶草属,parent taxon,母草科
槲树,IUCN conservation status,无危物种
槲栎,endemic to,日本
槲寄生属,parent taxon,槲寄生科
葫芦属,topic's main category,Category:Lagenaria
葫芦叶马兜铃,IUCN conservation status,易危物种
湖南紫菀,instance of,生物分类单元
湖南玉山竹,instance of,生物分类单元
湖南淫羊藿,instance of,生物分类单元
湖南悬钩子,instance of,生物分类单元
湖南蛇根草,instance of,生物分类单元
湖南香薷,instance of,生物分类单元
湖南山核桃,instance of,生物分类单元
湖南山麻杆,instance of,生物分类单元
葫芦树,parent taxon,炮弹果属
葫芦科,parent taxon,堇菜目
葫芦茎虾脊兰,parent taxon,虾脊兰属
葫芦草,parent taxon,多裔黍属
蝴蝶草属,topic's main category,Category:蝴蝶草属
槲树,topic's main category,Category:Quercus dentata
槲栎,endemic to,朝鲜
槲寄生属,has fruit type,浆果
葫芦属,described by source,俄语百科全书
湖南紫菀,taxon rank,种
湖南玉山竹,taxon rank,种
湖南淫羊藿,taxon rank,种
湖南悬钩子,taxon rank,种
湖南蛇根草,taxon rank,种
湖南香薷,taxon rank,种
湖南山核桃,taxon rank,种
湖南山麻杆,taxon rank,种
葫芦树,topic's main category,Category:Crescentia cujete
葫芦科,parent taxon,Passiflorales
葫芦茶属,parent taxon,Papilionoideae
葫芦茶,basionym,Hedysarum triquetrum
葫芦,basionym,Cucurbita siceraria
槲栎,endemic to,中华人民共和国
槲寄生属,topic's main category,Category:槲寄生属
湖南箬竹,instance of,生物分类单元
湖南黔蕨,instance of,生物分类单元
湖南千里光,instance of,生物分类单元
湖南木姜子,instance of,生物分类单元
湖南桤叶树,instance of,生物分类单元
湖南蒲儿根,instance of,生物分类单元
湖南马铃苣苔,instance of,生物分类单元
湖南鳞果星蕨,instance of,生物分类单元
湖南紫菀,parent taxon,紫菀属
葫芦科,parent taxon,葫芦目
葫芦茶属,topic's main category,Category:葫芦茶属
葫芦,topic's main category,Category:Lagenaria siceraria
槲栎,endemic to,中华民国
槲寄生属,described by source,Encyclopedia of Armenian Nature
湖南箬竹,taxon rank,种
湖南黔蕨,taxon rank,种
湖南千里光,taxon rank,种
湖南木姜子,taxon rank,种
湖南桤叶树,taxon rank,种
湖南蒲儿根,taxon rank,种
湖南马铃苣苔,taxon rank,种
湖南鳞果星蕨,taxon rank,种
湖南淫羊藿,basionym,Epimedium davidii var. hunanense
葫芦科,taxonomic type,南瓜属
槲栎,topic's main category,Category:Quercus aliena
槲寄生属,described by source,亚美尼亚苏维埃百科全书
湖南堇菜,instance of,生物分类单元
湖南黄芩,instance of,生物分类单元
湖南黄花稔,instance of,生物分类单元
湖南复叶耳蕨,instance of,生物分类单元
湖南凤仙花,instance of,生物分类单元
湖南杜鹃,instance of,生物分类单元
湖南地黄连,instance of,生物分类单元
湖南茶藨子,instance of,生物分类单元
湖南黔蕨,parent taxon,Phanerophlebiopsis
湖南蒲儿根,parent taxon,Sinosenecio
湖南马铃苣苔,parent taxon,Oreocharis
湖南鳞果星蕨,parent taxon,Lepidomicrosorium
葫芦科,has fruit type,浆果
槲寄生属,described by source,苏联大百科全书
湖南堇菜,taxon rank,种
湖南黄芩,taxon rank,种
湖南黄花稔,taxon rank,种
湖南复叶耳蕨,taxon rank,种
湖南凤仙花,taxon rank,种
湖南杜鹃,taxon rank,种
湖南地黄连,taxon rank,种
湖南茶藨子,taxon rank,种
湖南蒲儿根,basionym,Senecio hunanensis
葫芦科,uses,景天酸代谢
槲寄生属,described by source,New Encyclopedic Dictionary
湖南稗子,instance of,生物分类单元
湖广卫矛,instance of,生物分类单元
湖瓜草属,instance of,生物分类单元
湖滨嵩草,instance of,生物分类单元
湖北紫珠,instance of,生物分类单元
湖北紫荆,instance of,生物分类单元
湖北锥,instance of,生物分类单元
湖北蝇子草,instance of,生物分类单元
湖南黄花稔,parent taxon,Sida
湖南复叶耳蕨,parent taxon,Arachniodes
湖南杜鹃,parent taxon,杜鹃花属
湖南茶藨子,parent taxon,茶藨子科
葫芦科,topic's main category,Category:葫芦科
槲寄生属,described by source,Explanatory Dictionary of the Living Great Russian Language
湖南稗子,taxon rank,种
湖广卫矛,taxon rank,种
湖瓜草属,taxon rank,属
湖滨嵩草,taxon rank,种
湖北紫珠,taxon rank,种
湖北紫荆,taxon rank,种
湖北锥,taxon rank,种
湖北蝇子草,taxon rank,种
葫芦科,described by source,亚美尼亚苏维埃百科全书
湖北野青茅,instance of,生物分类单元
湖北眼子菜,instance of,生物分类单元
湖北旋覆花,instance of,生物分类单元
湖北铁线莲,instance of,生物分类单元
湖北小檗,instance of,生物分类单元
湖北娃儿藤,instance of,生物分类单元
湖北算盘子,instance of,生物分类单元
湖北锥,parent taxon,锥栗属
湖北野青茅,taxon rank,种
湖北眼子菜,taxon rank,种
湖北旋覆花,taxon rank,种
湖北铁线莲,taxon rank,种
湖北小檗,taxon rank,种
湖北娃儿藤,taxon rank,种
湖北算盘子,taxon rank,种
湖南稗子,has fruit type,颖果
湖瓜草属,topic's main category,Category:Lipocarpha
湖北鼠尾草,instance of,生物分类单元
湖北鼠李,instance of,生物分类单元
湖北石楠,instance of,生物分类单元
湖北山楂,instance of,生物分类单元
湖北沙参,instance of,生物分类单元
湖北三毛草,instance of,生物分类单元
湖北葡萄,instance of,生物分类单元
湖北木姜子,instance of,生物分类单元
湖南稗子,IUCN conservation status,无危物种
湖北鼠尾草,taxon rank,种
湖北鼠李,taxon rank,种
湖北石楠,taxon rank,种
湖北山楂,taxon rank,种
湖北沙参,taxon rank,种
湖北三毛草,taxon rank,种
湖北葡萄,taxon rank,种
湖北木姜子,taxon rank,种
湖北野青茅,subject has role,基名
湖北旋覆花,basionym,Inula helianthusaquatilis subsp. hupehensis
湖南稗子,described by source,Great Soviet Encyclopedia (1926–1947)
湖北毛椴,instance of,生物分类单元
湖北落芒草,instance of,生物分类单元
湖北柳,instance of,生物分类单元
湖北瘤果茶,instance of,生物分类单元
湖北裂瓜,instance of,生物分类单元
湖北老鹳草,instance of,生物分类单元
湖北拉拉藤,instance of,生物分类单元
湖北蓟,instance of,生物分类单元
湖北毛椴,taxon rank,种
湖北落芒草,taxon rank,种
湖北柳,taxon rank,种
湖北瘤果茶,taxon rank,种
湖北裂瓜,taxon rank,种
湖北老鹳草,taxon rank,种
湖北拉拉藤,taxon rank,种
湖北蓟,taxon rank,种
湖北黄精,instance of,生物分类单元
湖北华箬竹,instance of,生物分类单元
湖北花楸,instance of,生物分类单元
湖北海棠,instance of,生物分类单元
湖北凤仙花,instance of,生物分类单元
湖北附地菜,instance of,生物分类单元
湖北枫杨,instance of,生物分类单元
湖北风毛菊,instance of,生物分类单元
湖北柳,parent taxon,柳树
湖北老鹳草,parent taxon,老颧草属
湖北蓟,parent taxon,蓟属
湖北黄精,taxon rank,种
湖北华箬竹,taxon rank,种
湖北花楸,taxon rank,种
湖北海棠,taxon rank,种
湖北凤仙花,taxon rank,种
湖北附地菜,taxon rank,种
湖北枫杨,taxon rank,种
湖北风毛菊,taxon rank,种
湖北繁缕,instance of,生物分类单元
湖北蛾眉蕨,instance of,生物分类单元
湖北鹅耳枥,instance of,生物分类单元
湖北当归,instance of,生物分类单元
湖北杜茎山,instance of,生物分类单元
湖北地黄,instance of,生物分类单元
湖北大戟,instance of,生物分类单元
湖北楤木,instance of,生物分类单元
湖北华箬竹,parent taxon,Sasa
湖北繁缕,taxon rank,种
湖北蛾眉蕨,taxon rank,种
湖北鹅耳枥,taxon rank,种
湖北当归,taxon rank,种
湖北杜茎山,taxon rank,种
湖北地黄,taxon rank,种
湖北大戟,taxon rank,种
湖北楤木,taxon rank,种
湖北华箬竹,basionym,Sasamorpha hubeiensis
湖北海棠,basionym,Pyrus hupehensis
湖北凤仙花,IUCN conservation status,濒危物种
湖北梣,instance of,生物分类单元
湖北贝母,instance of,生物分类单元
湖北百合,instance of,生物分类单元
湖北巴戟,instance of,生物分类单元
湖岸剪股颖,instance of,生物分类单元
壶嘴柯,instance of,生物分类单元
壶托榕,instance of,生物分类单元
壶壳柯,instance of,生物分类单元
湖北蛾眉蕨,parent taxon,Lunathyrium
湖北当归,parent taxon,当归属
湖北杜茎山,parent taxon,Maesa
湖北大戟,parent taxon,大戟属
湖北海棠,IUCN conservation status,无危物种
湖北梣,taxon rank,种
湖北贝母,taxon rank,种
湖北百合,taxon rank,种
湖北巴戟,taxon rank,种
湖岸剪股颖,taxon rank,种
壶嘴柯,taxon rank,种
壶托榕,taxon rank,种
壶壳柯,taxon rank,种
湖北海棠,topic's main category,Category:Malus hupehensis
壶花荚蒾,instance of,生物分类单元
壶冠龙胆,instance of,生物分类单元
胡枝子属,instance of,生物分类单元
胡杨,instance of,生物分类单元
胡颓子属,instance of,生物分类单元
胡颓子叶柯,instance of,生物分类单元
胡颓子科,instance of,生物分类单元
湖北梣,parent taxon,梣树
湖北巴戟,parent taxon,羊角藤属
壶嘴柯,parent taxon,石栎属
壶托榕,parent taxon,榕属
壶壳柯,parent taxon,石栎属
壶花荚蒾,taxon rank,种
壶冠龙胆,taxon rank,种
胡枝子属,taxon rank,属
胡杨,taxon rank,种
胡颓子属,taxon rank,属
胡颓子叶柯,taxon rank,种
胡颓子科,taxon rank,科
湖北梣,IUCN conservation status,濒危物种
湖北百合,topic's main category,Category:Lilium henryi
壶嘴柯,basionym,Pasania tubulosa
壶壳柯,basionym,Pasania echinophora
胡颓子,instance of,生物分类单元
胡桃楸,instance of,生物分类单元
胡桃科,instance of,生物分类单元
胡桃,instance of,生物分类单元
胡荽,instance of,生物分类单元
胡氏凤尾蕨,instance of,生物分类单元
胡麻属,instance of,生物分类单元
胡麻科,instance of,生物分类单元
胡枝子属,parent taxon,Desmodieae
胡颓子叶柯,parent taxon,石栎属
胡颓子科,parent taxon,山龙眼目
胡颓子,taxon rank,种
胡桃楸,taxon rank,种
胡桃科,taxon rank,科
胡桃,taxon rank,属
胡荽,taxon rank,种
胡氏凤尾蕨,taxon rank,种
胡麻属,taxon rank,属
胡麻科,taxon rank,科
胡枝子属,parent taxon,Papilionoideae
胡杨,has fruit type,蒴果
胡颓子叶柯,basionym,Quercus elaeagnifolia
胡颓子科,parent taxon,桃金娘目
胡麻黄耆,instance of,生物分类单元
胡麻花属,instance of,生物分类单元
胡麻花,instance of,生物分类单元
胡麻草属,instance of,生物分类单元
胡麻草,instance of,生物分类单元
胡萝卜属,instance of,生物分类单元
胡卢巴属,instance of,生物分类单元
胡萝卜叶马先蒿,instance of,生物分类单元
胡桃科,parent taxon,胡桃目
胡氏凤尾蕨,parent taxon,Pteris
胡麻科,parent taxon,Scrophulariales
胡枝子属,topic's main category,Category:胡枝子属
胡杨,IUCN conservation status,无危物种
胡颓子属,has fruit type,核果
胡颓子科,parent taxon,Daphnales
胡麻黄耆,taxon rank,种
胡麻花属,taxon rank,属
胡麻花,taxon rank,种
胡麻草属,taxon rank,属
胡麻草,taxon rank,种
胡萝卜属,taxon rank,属
胡卢巴属,taxon rank,属
胡萝卜叶马先蒿,taxon rank,种
胡颓子,topic's main category,Category:Elaeagnus pungens
胡桃楸,topic's main category,Category:Juglans mandshurica
胡桃科,parent taxon,Unisexuales
胡桃,taxonomic type,普通胡桃
胡荽,this taxon is source of,coriander seed
胡麻属,has fruit type,蒴果
胡麻科,parent taxon,Tubiflorae
胡杨,topic's main category,Category:Populus euphratica
胡颓子属,topic's main category,Category:Elaeagnus
胡颓子科,parent taxon,Myrtiflorae
胡卢巴,instance of,生物分类单元
胡椒属,instance of,生物分类单元
胡椒科,instance of,生物分类单元
胡椒,instance of,维基媒体消歧义页
胡黄莲,instance of,生物分类单元
胡瓜,instance of,生物分类单元
狐尾藻,instance of,生物分类单元
狐尾马先蒿,instance of,生物分类单元
胡麻黄耆,parent taxon,黄芪
胡麻花属,parent taxon,Chionographideae
胡麻草属,parent taxon,列当科
胡萝卜属,parent taxon,Daucinae
胡卢巴属,parent taxon,车轴草族
胡桃科,parent taxon,壳斗目
胡桃,has fruit type,核果
胡荽,this taxon is source of,coriander
胡麻属,topic's main category,Category:胡麻属
胡麻科,parent taxon,Personales
胡颓子属,described by source,Encyclopedia of Armenian Nature
胡颓子科,parent taxon,Elaeagnales
胡卢巴,taxon rank,种
胡椒属,taxon rank,属
胡椒科,taxon rank,科
胡椒,different from,Pepper
胡黄莲,taxon rank,种
胡瓜,taxon rank,种
狐尾藻,taxon rank,种
狐尾马先蒿,taxon rank,种
胡麻花属,topic's main category,Category:Heloniopsis
胡麻草属,topic's main category,Category:胡麻草属
胡萝卜属,topic's main category,Category:胡萝卜属
胡卢巴属,parent taxon,Papilionoideae
胡桃科,taxon synonym,Rhoipteleaceae
胡桃,this taxon is source of,walnut wood
胡荽,use,香辛料
胡麻科,parent taxon,脣形目
胡颓子科,parent taxon,蔷薇目
狐尾蓼,instance of,生物分类单元
狐尾黄耆,instance of,生物分类单元
狐茅状雪灵芝,instance of,生物分类单元
狐毛直瓣苣苔,instance of,生物分类单元
狐狸草,instance of,生物分类单元
狐臭柴,instance of,生物分类单元
弧距虾脊兰,instance of,生物分类单元
弧果黄耆,instance of,生物分类单元
胡椒科,parent taxon,Micrembryeae
胡黄莲,parent taxon,胡黄连属
胡瓜,parent taxon,甜瓜属
狐尾藻,parent taxon,杂属
胡卢巴属,topic's main category,Category:胡卢巴属
胡桃,topic's main category,Category:Juglans
胡荽,topic's main category,Category:Coriandrum sativum
胡麻科,taxonomic type,Pedalium
狐尾蓼,taxon rank,种
狐尾黄耆,taxon rank,种
狐茅状雪灵芝,taxon rank,种
狐毛直瓣苣苔,taxon rank,种
狐狸草,taxon rank,种
狐臭柴,taxon rank,种
弧距虾脊兰,taxon rank,种
弧果黄耆,taxon rank,种
胡卢巴,topic's main category,Category:Trigonella foenum-graecum
胡椒属,taxonomic type,黑胡椒
胡椒科,parent taxon,胡椒目
胡黄莲,subject has role,基名
狐尾藻,IUCN conservation status,无危物种
胡卢巴属,described by source,Encyclopedia of Armenian Nature
胡桃科,this taxon is source of,胡桃醌
胡麻科,topic's main category,Category:胡麻科
胡颓子科,has fruit type,nucule
呼玛柳,instance of,生物分类单元
厚柱山麻杆,instance of,生物分类单元
厚轴茶,instance of,生物分类单元
厚缘青冈,instance of,生物分类单元
厚圆果海桐,instance of,生物分类单元
厚衣香青,instance of,生物分类单元
厚叶钻地风,instance of,生物分类单元
厚叶锥,instance of,生物分类单元
狐尾黄耆,parent taxon,黄芪
狐狸草,parent taxon,齿冠草属
弧距虾脊兰,parent taxon,虾脊兰属
弧果黄耆,parent taxon,黄芪
胡卢巴,described by source,亚美尼亚苏维埃百科全书
胡椒属,topic's main category,Category:胡椒属
胡瓜,this taxon is source of,cornichon
狐尾藻,topic's main category,Category:Myriophyllum verticillatum
胡桃科,topic's main category,Category:胡桃科
胡颓子科,topic's main category,Category:胡颓子科
呼玛柳,taxon rank,种
厚柱山麻杆,taxon rank,种
厚轴茶,taxon rank,种
厚缘青冈,taxon rank,种
厚圆果海桐,taxon rank,种
厚衣香青,taxon rank,种
厚叶钻地风,taxon rank,种
厚叶锥,taxon rank,种
狐尾黄耆,topic's main category,Category:Astragalus alopecurus
狐毛直瓣苣苔,subject has role,基名
胡卢巴,described by source,大保利古典学百科全书
胡椒属,described by source,Nordisk familjebok
胡椒科,uses,景天酸代谢
胡瓜,this taxon is source of,Znojmo cucumber
狐尾藻,Status in the Red List of Threatened Species in the Czech Republic,vulnerable
胡桃科,described by source,俄语百科全书
厚叶蛛毛苣苔,instance of,生物分类单元
厚叶轴脉蕨,instance of,生物分类单元
厚叶钟报春,instance of,生物分类单元
厚叶沿阶草,instance of,生物分类单元
厚叶崖爬藤,instance of,生物分类单元
厚叶岩白菜,instance of,生物分类单元
厚叶栒子,instance of,生物分类单元
厚叶悬钩子,instance of,生物分类单元
呼玛柳,parent taxon,柳树
厚叶锥,parent taxon,锥栗属
胡卢巴,described by source,俄语百科全书
胡椒科,topic's main category,Category:胡椒科
胡瓜,this taxon is source of,醃黄瓜
厚叶蛛毛苣苔,taxon rank,种
厚叶轴脉蕨,taxon rank,种
厚叶钟报春,taxon rank,种
厚叶沿阶草,taxon rank,种
厚叶崖爬藤,taxon rank,种
厚叶岩白菜,taxon rank,种
厚叶栒子,taxon rank,种
厚叶悬钩子,taxon rank,种
厚轴茶,IUCN conservation status,无危物种
厚叶钻地风,subject has role,基名
胡椒科,described by source,Ottův slovník naučný
胡瓜,topic's main category,Category:Cucumber recipes
厚叶香草,instance of,生物分类单元
厚叶乌头,instance of,生物分类单元
厚叶卫矛,instance of,生物分类单元
厚叶兔耳草,instance of,生物分类单元
厚叶兔儿风,instance of,生物分类单元
厚叶铁线莲,instance of,生物分类单元
厚叶藤山柳,instance of,生物分类单元
厚叶碎米蕨,instance of,生物分类单元
厚叶蛛毛苣苔,parent taxon,密叶苣苔属
厚叶轴脉蕨,parent taxon,Ctenitopsis
厚叶钟报春,parent taxon,报春花属
厚叶崖爬藤,parent taxon,崖爬藤属
胡瓜,described by source,New Encyclopedic Dictionary
厚叶香草,taxon rank,种
厚叶乌头,taxon rank,种
厚叶卫矛,taxon rank,种
厚叶兔耳草,taxon rank,种
厚叶兔儿风,taxon rank,种
厚叶铁线莲,taxon rank,种
厚叶藤山柳,taxon rank,种
厚叶碎米蕨,taxon rank,种
厚叶蛛毛苣苔,basionym,Boea crassifolia
厚叶崖爬藤,basionym,Vitis pachyphylla
厚叶岩白菜,basionym,Saxifraga crassifolia
厚叶栒子,topic's main category,Category:Cotoneaster lacteus
厚叶算盘子,instance of,生物分类单元
厚叶素馨,instance of,生物分类单元
厚叶溲疏,instance of,生物分类单元
厚叶双盖蕨,instance of,生物分类单元
厚叶鼠刺,instance of,生物分类单元
厚叶实蕨,instance of,生物分类单元
厚叶石楠,instance of,生物分类单元
厚叶石斑木,instance of,生物分类单元
厚叶碎米蕨,parent taxon,Cheilosoria
厚叶岩白菜,has fruit type,蒴果
厚叶算盘子,taxon rank,种
厚叶素馨,taxon rank,种
厚叶溲疏,taxon rank,种
厚叶双盖蕨,taxon rank,种
厚叶鼠刺,taxon rank,种
厚叶实蕨,taxon rank,种
厚叶石楠,taxon rank,种
厚叶石斑木,taxon rank,种
厚叶岩白菜,topic's main category,Category:Bergenia crassifolia
厚叶蛇根草,instance of,生物分类单元
厚叶山矾,instance of,生物分类单元
厚叶雀舌木,instance of,生物分类单元
厚叶秋海棠,instance of,生物分类单元
厚叶槭,instance of,生物分类单元
厚叶琼楠,instance of,生物分类单元
厚叶木莲,instance of,生物分类单元
厚叶美花草,instance of,生物分类单元
厚叶双盖蕨,parent taxon,Diplazium
厚叶实蕨,parent taxon,Bolbitis
厚叶蛇根草,taxon rank,种
厚叶山矾,taxon rank,种
厚叶雀舌木,taxon rank,种
厚叶秋海棠,taxon rank,种
厚叶槭,taxon rank,种
厚叶琼楠,taxon rank,种
厚叶木莲,taxon rank,种
厚叶美花草,taxon rank,种
厚叶梅花草,instance of,生物分类单元
厚叶毛兰,instance of,生物分类单元
厚叶楼梯草,instance of,生物分类单元
厚叶龙胆,instance of,生物分类单元
厚叶柃,instance of,生物分类单元
厚叶冷水花,instance of,生物分类单元
厚叶柯,instance of,生物分类单元
厚叶拉拉藤,instance of,生物分类单元
厚叶雀舌木,parent taxon,黑钩叶属
厚叶槭,parent taxon,枫属
厚叶琼楠,parent taxon,琼楠属
厚叶梅花草,taxon rank,种
厚叶毛兰,taxon rank,种
厚叶楼梯草,taxon rank,种
厚叶龙胆,taxon rank,种
厚叶柃,taxon rank,种
厚叶冷水花,taxon rank,种
厚叶柯,taxon rank,种
厚叶拉拉藤,taxon rank,种
厚叶蕨,instance of,生物分类单元
厚叶假柴龙树,instance of,生物分类单元
厚叶黄耆,instance of,生物分类单元
厚叶厚皮香,instance of,生物分类单元
厚叶花旗杆,instance of,生物分类单元
厚叶红山茶,instance of,生物分类单元
厚叶红淡比,instance of,生物分类单元
厚叶贯众,instance of,生物分类单元
厚叶柃,parent taxon,柃属
厚叶柯,parent taxon,石栎属
厚叶蕨,taxon rank,种
厚叶假柴龙树,taxon rank,种
厚叶黄耆,taxon rank,种
厚叶厚皮香,taxon rank,种
厚叶花旗杆,taxon rank,种
厚叶红山茶,taxon rank,种
厚叶红淡比,taxon rank,种
厚叶贯众,taxon rank,种
厚叶柯,basionym,Quercus pachyphylla
厚叶附地菜,instance of,生物分类单元
厚叶凤尾蕨,instance of,生物分类单元
厚叶杜鹃,instance of,生物分类单元
厚叶冬青,instance of,生物分类单元
厚叶川木香,instance of,生物分类单元
厚叶翅膜菊,instance of,生物分类单元
厚叶白点兰,instance of,生物分类单元
厚叶蕨,parent taxon,Cephalomanes
厚叶黄耆,parent taxon,黄芪
厚叶花旗杆,parent taxon,花旗竿属
厚叶红淡比,parent taxon,肖柃属
厚叶贯众,parent taxon,Cyrtomium
厚叶附地菜,taxon rank,种
厚叶凤尾蕨,taxon rank,种
厚叶杜鹃,taxon rank,种
厚叶冬青,taxon rank,种
厚叶川木香,taxon rank,种
厚叶翅膜菊,taxon rank,种
厚叶白点兰,taxon rank,种
厚叶贯众,basionym,Polystichum pachyphyllum
厚叶巴豆,instance of,生物分类单元
厚叶安息香,instance of,生物分类单元
厚檐小檗,instance of,生物分类单元
厚绒荚蒾,instance of,生物分类单元
厚绒黄鹌,instance of,生物分类单元
厚鞘早熟禾,instance of,生物分类单元
厚朴,instance of,生物分类单元
厚皮锥,instance of,生物分类单元
厚叶凤尾蕨,parent taxon,Pteris
厚叶杜鹃,parent taxon,杜鹃花属
厚叶川木香,parent taxon,藏菊属
厚叶翅膜菊,parent taxon,Alfredia
厚叶巴豆,taxon rank,种
厚叶安息香,taxon rank,种
厚檐小檗,taxon rank,种
厚绒荚蒾,taxon rank,种
厚绒黄鹌,taxon rank,种
厚鞘早熟禾,taxon rank,种
厚朴,taxon rank,种
厚皮锥,taxon rank,种
厚叶川木香,basionym,Jurinea edulis var. berardioidea
厚皮香属,instance of,生物分类单元
厚皮香,instance of,生物分类单元
厚皮香八角,instance of,生物分类单元
厚皮树属,instance of,生物分类单元
厚皮树,instance of,生物分类单元
厚皮灰木,instance of,生物分类单元
厚皮酒饼簕,instance of,生物分类单元
厚棉紫菀,instance of,生物分类单元
厚朴,parent taxon,木兰属
厚皮锥,parent taxon,锥栗属
厚皮香属,taxon rank,属
厚皮香,taxon rank,种
厚皮香八角,taxon rank,种
厚皮树属,taxon rank,属
厚皮树,taxon rank,种
厚皮灰木,taxon rank,种
厚皮酒饼簕,taxon rank,种
厚棉紫菀,taxon rank,种
厚绒黄鹌,basionym,Crepis fusca
厚朴,IUCN conservation status,濒危物种
厚毛里白,instance of,生物分类单元
厚毛节肢蕨,instance of,生物分类单元
厚毛扁芒菊,instance of,生物分类单元
厚鳞柯,instance of,生物分类单元
厚棱芹属,instance of,生物分类单元
厚裂凤仙花,instance of,生物分类单元
厚壳树属,instance of,生物分类单元
厚壳树,instance of,生物分类单元
厚棉紫菀,parent taxon,紫菀属
厚朴,topic's main category,Category:Magnolia officinalis
厚毛里白,taxon rank,种
厚毛节肢蕨,taxon rank,种
厚毛扁芒菊,taxon rank,种
厚鳞柯,taxon rank,种
厚棱芹属,taxon rank,属
厚裂凤仙花,taxon rank,种
厚壳树属,taxon rank,属
厚壳树,taxon rank,种
厚皮香,topic's main category,Category:Ternstroemia gymnanthera
厚皮香八角,IUCN conservation status,易危物种
厚皮树属,topic's main category,Category:厚皮树属
厚壳红瘤果茶,instance of,生物分类单元
厚壳桂属,instance of,生物分类单元
厚壳桂,instance of,生物分类单元
厚距花属,instance of,生物分类单元
厚距花,instance of,生物分类单元
厚荚红豆,instance of,生物分类单元
厚喙菊属,instance of,生物分类单元
厚喙菊,instance of,生物分类单元
厚毛里白,parent taxon,Hicriopteris
厚毛节肢蕨,parent taxon,Arthromeris
厚鳞柯,parent taxon,石栎属
厚棱芹属,parent taxon,Apioideae
厚壳树属,parent taxon,Ehretioideae
厚皮香属,topic's main category,Category:厚皮香属
厚壳红瘤果茶,taxon rank,种
厚壳桂属,taxon rank,属
厚壳桂,taxon rank,种
厚距花属,taxon rank,属
厚距花,taxon rank,种
厚荚红豆,taxon rank,种
厚喙菊属,taxon rank,属
厚喙菊,taxon rank,种
厚毛里白,subject has role,基名
厚棱芹属,topic's main category,Category:厚棱芹属
厚壳树属,taxonomic type,Ehretia tinifolia
厚壳树,topic's main category,Category:Ehretia acuminata
厚花球兰,instance of,生物分类单元
厚果崖豆藤,instance of,生物分类单元
厚果槐,instance of,生物分类单元
厚果含笑,instance of,生物分类单元
厚萼紫珠,instance of,生物分类单元
厚萼铁线莲,instance of,生物分类单元
厚梗染木树,instance of,生物分类单元
厚萼凌霄,instance of,生物分类单元
厚壳树属,has fruit type,核果
厚花球兰,taxon rank,种
厚果崖豆藤,taxon rank,种
厚果槐,taxon rank,种
厚果含笑,taxon rank,种
厚萼紫珠,taxon rank,种
厚萼铁线莲,taxon rank,种
厚梗染木树,taxon rank,种
厚萼凌霄,subclass of,攀缘植物
厚壳桂属,topic's main category,Category:厚壳桂属
厚壳桂,basionym,Beilschmiedia chinensis
厚距花属,topic's main category,Category:Pachycentria
厚喙菊属,topic's main category,Category:厚喙菊属
厚喙菊,basionym,Hieracium hispidum
厚壳树属,topic's main category,Category:厚壳树属
厚短蕊茶,instance of,生物分类单元
厚斗柯,instance of,生物分类单元
厚唇兰属,instance of,生物分类单元
厚唇角盘兰,instance of,生物分类单元
厚唇兰,instance of,生物分类单元
