iplantitem1,relation,iplantitem2
湘赣艾,功用,民间入药，作“艾”（家艾）的代用品。
华北米蒿,功用,入药，有清热、解毒、利肺作用。
臭蒿,功用,青海、甘肃民间入药，有清热、解毒、凉血、消炎、除湿之效。...
歧茎蒿,功用,民间入药，作“艾”（家艾）的代用品，有止血、消炎、通经等...
海南牡蒿,功用,入药，与牡蒿原变种同。
菴闾,功用,全草入药，有止血、消炎、驱风、活络之效。
细裂叶白苞蒿,功用,含挥发油，成分有黄酮苷、酚类，还含氨基酸及香豆素等物质。...
白叶蒿,功用,入药，作“艾”（家艾）的代用品，有温气血、逐寒湿、止血、...
滨海牡蒿,功用,入药，作牡蒿的代用品。
东北牡蒿,功用,入药，有消炎、解毒、清热等效。
蒙古蒿,功用,全草入药，作“艾，”（家艾）的代用品，有温经、止血、散寒...
小球花蒿,功用,全草入药，有止血、消炎作用。
黑沙蒿,功用,根系粗长，茎木质，分枝多而长，耐沙压埋；果壁上含胶质物，...
西南牡蒿,功用,入药，有清热、解毒、止血、祛湿作用，还可代替“青蒿”（即...
魁蒿,功用,民间入药，作“艾”（家艾）的代用品，有逐寒湿、理气血、调...
秦岭蒿,功用,入药，作“艾，”（家艾）代用品。
红足蒿,功用,入药作“艾，”（家艾）的代用品，有温经、散寒、止血作用。
岩蒿,功用,新疆民间入药，有消炎、止血之效。
灰莲蒿,功用,含挥发油，主要成分为薁类，还含倍半萜内脂等。古本草书如《...
密毛白莲蒿,功用,含挥发油，主要成分为薁类，还含倍半萜内脂等。古本草书如《...
大籽蒿,功用,含挥发油，并含内醋类及薁类 (azulens) 物质。民间入药，有...
湿地蒿,功用,在新疆作药用，有清热、解毒、消炎、止血之效。
辽东蒿,功用,入药，作“艾（家艾）的代用品。
南艾蒿,功用,入药，作“艾”（家艾）的代用品，有消炎、止血作用。
毛莲蒿,功用,入药，有清热、消炎、祛风、利湿之效。
藏沙蒿,功用,西藏入药，藏药用于消炎、止内脏出血等。
短尾细辛,功用,本种全草在四川西南部药用。
尾花细辛,功用,1.尾花细辛（湖北植物志）白三百棒、顺河香（贵州）
双叶细辛,功用,全草药用。湖北民间用治胃痛有良效。
铜钱细辛,功用,本种全草在产区供药用。
川滇细辛,功用,本种全草在四川峨眉、乐山等地作土细辛用，又作兽药。
杜衡,功用,本种全草入药。近年发现本种的挥发油对动物有明显的镇静作用...
福建细辛,功用,本种全草在江西、安徽部分地区入药。
地花细辛,功用,本种的根状茎和根或全草在贵州部分地区作土细辛用，而在广西...
单叶细辛,功用,本种全草在西南地区和陕西作细辛入药。
小叶马蹄香,功用,本种全草在浙江、江西、湖北、湖南作药用。
灯笼细辛,功用,本种全草在产地入药。
长茎金耳环,功用,本种全草入药。
祁阳细辛,功用,30.祁阳细辛 山慈菇（广东），南细辛（江西）图版45: 6-10
鼎湖细辛,功用,本变种全草入药。
大叶马蹄香,功用,本种全草或根入药。
红金耳环,功用,本种全草入药。
深绿细辛,功用,本种全草在产地作川细辛入药。
长毛细辛,功用,本种全草或根状茎和根在湖北、四川供药用。
肾叶细辛,功用,全草入药。
山慈菇,功用,本种全草入药，治跌打或蛇伤。
细辛,功用,10. 细辛（本草经）华细辛（文献通称），盆草细辛（四川）
汉城细辛,功用,本种全草入药。
青城细辛,功用,本种全草在四川、贵州入药。
五岭细辛,功用,本种全草入药。
马利筋,功用,全株有毒，尤以乳汁毒性较强，含强心甙，称白微甙，可作药用...
天门冬,功用,天门冬的块根是常用的中药，有滋阴润燥、清火止咳之效。
羊齿天门冬,功用,块根在云南作草药用。
短梗天门冬,功用,块根在湖南作草药用。
龙须菜,功用,根状茎和根在河南常被作为中药白前混用。
蜘蛛抱蛋属,功用,由于本属植物的叶终年青翠，故有“万年青”之名，国内外广泛...
薄叶蜘蛛抱蛋,功用,根状茎民间药用，据说有活血祛瘀、接骨止痛之效。用来治跌打...
大武蜘蛛抱蛋,功用,根状茎民间药用，据说有活血祛瘀、接骨止痛之效。用来治跌打...
九龙盘,功用,2.九龙盘　竹叶盘（四川），青蛇莲、蛇莲、接骨丹、娱蚣草（...
雾庄蜘蛛抱蛋,功用,根状茎民间药用，据说有活血祛瘀、接骨止痛之效。用来治跌打...
三脉紫菀,功用,据《植物名实图考》湖南、江西草医常用以煎洗无名肿毒。贵州...
三脉紫菀-毛枝变种,功用,药用治感冒，骨痛，蛇伤。
翼柄紫菀,功用,全草有祛热，止渴、止汗、表寒之功效，又能治疮、活血。
耳叶紫菀,功用,6. 耳叶紫菀 银钱菊（云南）图版39：5-9
匙叶巴塘紫菀,功用,巴塘紫菀在云南丽江供药用，土名“万年青”，用根解毒。据说...
萎软紫菀,功用,81. 萎软紫菀 太白菊（全国中草药汇编）肺经草（陕西）
丽江紫菀,功用,80. 丽江紫菀 肥儿草（丽江土名）图版60：4-6
多花丽江紫菀,功用,全草治小儿疳积，牙痛。
石生紫菀,功用,53. 石生紫菀 菊花暗消（云南）野冬菊（昆明）肋痛草（丽江...
异苞石生紫菀,功用,此种药用花、止痛、消炎。
阴生石生紫菀,功用,此种药用花、止痛、消炎。
厚棉紫菀,功用,藏名“昌拉博笃”，供药用。
缘毛紫菀,功用,据西藏中草药，藏名“阿恣”药用根茎及根。消炎、止咳、平喘...
仙白草,功用,此变种为浙江著名的蛇伤草药。
裂叶星果草,功用,地下部分在广西全州一带代黄连用（广西中药志）。
落新妇,功用,全草含氰酸，花含槲皮素（quercetin），根和根状茎含岩白菜...
大落新妇,功用,根与根状茎合岩白菜素。根状茎入药，治筋骨酸痛等症。
多花落新妇,功用,根状茎入药；祛风镇痛，治伤风感冒、头痛、偏头痛等。
斜茎黄耆,功用,种子入药，为强壮剂，治神经衰弱，又为优良牧草和保土植物。
地八角,功用,全草药用，有清热解毒、利尿的功效。
背扁黄耆,功用,种子入药称沙苑子和潼蒺藜，有补肾固精、清肝明目之效，主治...
梭果黄耆,功用,本种在四川康定地区代黄耆入药。
蒙古黄耆,功用,根亦作黄耆入药。
糙叶黄耆,功用,牛羊喜食，可作牧草及保持水土植物。据 Llodia 33: 1. 1970....
变异黄耆,功用,有毒植物，青鲜草家畜均喜食，但食后出现中毒现象，开花时毒...
十万错,功用,云南文山用作解热药。
白接骨,功用,叶和根状茎入药，止血。
异药芥属,功用,本属模式种：异药芥：Atelanthera perpusilla Hook. f. et T...
苍术,功用,苍术根状茎入药，为运脾药，性味苦温辛烈，有燥湿、化浊、止...
白术,功用,药用功能同苍术。
桃叶珊瑚属,功用,本属有些种类民间作药用；个别种的木材可供工艺用；我国南方...
阳桃,功用,果生津止渴，亦入药。根、皮、叶、止痛止血。
假马齿苋,功用,药用，有消肿之效。
岗松,功用,叶含小茴香醇等，供药用，治黄疸、膀胱炎，外洗治皮炎及湿疹...
川藏蛇菰,功用,本种性状似筒鞘蛇菰，但不同的是其花雌雄异株、花序形状不同...
印度蛇菰,功用,全株供药用，为民间补药。
筒鞘蛇菰,功用,本种常寄生于杜鹃属植物的根上；全株入药，有止血、镇痛和消...
疏花蛇菰,功用,11．疏花蛇菰 石上莲、山菠萝（广东），通天蜡烛（广西）。
清明花,功用,根和叶供药用，可治风湿性腰腿痛、骨折、跌打损伤等。
铁破锣属,功用,根状茎可供药用。
铁破锣,功用,根状茎入药，治风湿感冒、风湿骨痛、目赤肿痛等症。
秋海棠属,功用,该类群植物花朵鲜艳美丽，体态多姿，花期较长，易于栽培，长...
射干,功用,根状茎药用，味苦、性寒、微毒。能清热解毒、散结消炎、消肿...
小檗科,功用,该科大多数属植物具有药用价值。小檗属和十大功劳属植物的根...
堆花小檗,功用,根含小檗碱，供药用，有清热解毒，消炎抗菌的功效。主治目赤...
黄芦木,功用,根皮和茎皮含小檗碱，供药用。有清热燥湿，泻火解毒的功能。...
短柄小檗,功用,根含小檗碱，供药用，除湿热，可代黄连。
秦岭小檗,功用,41．秦岭小檗
直穗小檗,功用,根皮及茎皮含小檗碱，可供药用。
首阳小檗,功用,根可入药，有清热、退火、抗菌的功效。
蛇菰科,功用,本科植物不少种类供药用；蛇菰属一些种的根茎含蜡质（蛇菰素...
长沙青皮竹,功用,竹材为华南地区著名编织用材，常用以编制各种竹器、竹缆、竹...
板蓝,功用,本种的叶含蓝靛染料，在合成染料发明以前，我国中部、南部和...
假杜鹃,功用,1.假杜鹃 图版7: 1-6
花叶假杜鹃,功用,药用全草。
玉蕊,功用,据文献记载，树皮纤维可做绳索，木材供建筑；根可退热，果实...
火索藤,功用,全株药用，疏风散寒，治风湿性关节炎。
羊蹄甲,功用,世界亚热带地区广泛栽培于庭园供观赏及作行道树、树皮、花和...
黄花羊蹄甲,功用,本种为美丽的庭园观赏灌木，在印度全年开花。根皮和花用以治...
大叶小檗,功用,根含小檗碱1.72%，可代黄连药用，用于各种热症和炎症。
川鄂小檗,功用,根皮含小檗碱，可供药用。有清热、解毒、消炎、抗菌功效。主...
叙永小檗,功用,根清热解毒，治大热毒症。
豪猪刺,功用,根可做黄色染料。根部含小檗碱3%，巴马亭0.6%，药根碱0.1%以...
天台小檗,功用,民间以其根皮及茎内皮代黄檗用，具抗菌消炎之效。用于治急性...
细叶小檗,功用,根和茎人药，可作黄连代用品，主治痢疾、黄疽、关节肿痛等症...
刺黄花,功用,川西地区民间用作黄连代用品，用根煮水吃去火，或用于洗眼治...
粉叶小檗(原变种),功用,根富含小檗碱，多用为提取原料，供药用，具有清热解毒、消炎...
刺黑珠,功用,根入药，有清热解毒，消炎抗菌功效。主治痢疾、腹泻、红肿等...
西伯利亚小檗,功用,27．西伯利亚小檗　刺叶小檗（内蒙古植物志）图版16：9-14
日本小檗,功用,根和茎含小檗碱，可供提取黄连素的原料。民间枝、叶煎水服，...
匙叶小檗,功用,根皮和根可作黄色染料。也可入药。
疣枝小檗,功用,根在民间用作清热退火药。根部含小檗碱1.05%，此外还含巴马...
庐山小檗,功用,根皮、茎含小檗碱较高，民间多代黄连，黄檗使用。作清热泻火...
金花小檗,功用,50．金花小檗　小叶小檗（秦岭植物志）
兴安小檗,功用,根皮和茎皮入蒙药。有清热、解毒、止泻、止血、明目之功效。...
牯岭勾儿茶,功用,根药用，治风湿痛。
铁包金,功用,根、叶药用，有止咳、祛痰、散疼之功效，治跌打损伤和蛇咬伤
光枝勾儿茶,功用,根和叶药用，有调经活血之功效；四川民间常用根及种子煎水治...
岩白菜,功用,全草含岩白菜素（bergenin）等香豆精类。根状茎入药；无毒；...
秦岭岩白菜,功用,根状茎入药；补脾健胃，除湿活血，清热败毒，收敛；主治急性...
坚桦,功用,26. 坚桦（河北习. 见树木图说、杵榆（河北）
鬼针草属,功用,有数种供药用，为民间常用草药。
婆婆针,功用,全草入药，有清热解毒、散瘀活血的功效，主治上呼吸道感染、...
金盏银盘,功用,全草入药，有清热解毒、散瘀活血的功效，主治上呼吸道感染、...
大狼杷草,功用,全草入药，有强壮、清热解毒的功效。主治体虚乏力、盗汗、咯...
小花鬼针草,功用,全草入药，有清热解毒、活血散瘀之效，主治感冒发热、咽喉肿...
鬼针草,功用,为我国民间常用草药，有清热解毒、散瘀活血的功效，主治上呼...
白花鬼针草,功用,为我国民间常用草药，有清热解毒、散瘀活血的功效，主治上呼...
紫葳科,功用,本科绝大多数种属都具有鲜艳夺目大而美丽的花朵，以及各式各...
分枝感应草,功用,全草入药。
感应草,功用,全草入药。
红木,功用,种子外皮可做红色染料，供染果点和纺织物用；树皮可作绳索；...
柏拉木属,功用,本属有的植物可供药用。
柏拉木,功用,全株有拔毒生肌的功效，用于治疮疖；根可止血，治产后流血不...
少花柏拉木,功用,全株治疮疥，用于拔毒生肌。
白及属,功用,假鳞茎均供药用，有止血补肺、生肌止痛之效。
苞叶藤,功用,根可治小儿腹胀。
艾纳香,功用,此植物为提取冰片的原料，故有冰片艾之称。又为发汗祛痰药，...
大花旋蒴苣苔,功用,全草药用，治外伤出血、跌打损伤等症。
旋蒴苣苔,功用,全草药用，味甘，性温，治中耳炎、跌打损伤等。
序叶苎麻,功用,在四川民间全草或根供药用，治风湿、筋骨痛等症。茎、叶可饲...
密球苎麻,功用,本种在四川南部民间药用，可祛湿。
细野麻,功用,茎皮纤维坚韧，可作造纸、绳索、人造棉及纺织原料。全草可药...
大叶苎麻,功用,茎皮纤维可代麻，供纺织麻布用。叶供药用，可清热解毒、消肿...
水苎麻,功用,茎皮纤维长而细软，拉力强，可做人造棉、纺纱、制绳索、织麻...
糙叶水苎麻,功用,茎皮纤维可造纸、织布、制绳。全草药用，治风湿痛、毒疮等症...
长叶苎麻,功用,茎皮纤维色洁白，柔软，可代苎麻供纺织用。根药用，治感冒、...
束序苎麻,功用,全草或根供药用，效用参阅苎麻。
石椒草,功用,本种亦作草药。据兰茂《滇南本草》载：“味苦寒，有小毒，走...
假贝母,功用,本种之鳞茎应系我国古代最早应用的中药贝母，曾有种植。有清...
丁座草,功用,全草入药，味涩，微苦性温，有理气止痛、止咳祛痰和消胀健胃...
草苁蓉,功用,全草入药，为中药肉苁蓉的代用品，有补肾壮阳、润肠通便之效...
药用阴地蕨,功用,药用，据说主治消疮毒，全用，冲开水服。
阴地蕨,功用,药用。
蕨萁,功用,药用。在湖北兴山县老君山药材培植场有栽培，但不如野生的硕...
光叶子花,功用,花入药，调和气血，治白带、调经。
短瓣花,功用,根药用，可强壮筋骨，治风湿和跌打损伤。
心叶野海棠,功用,全株供药用，用于刀伤止血。
过路惊,功用,全株药用，治小儿夜间惊哭。
鸭脚茶,功用,全株供药用，叶煎水洗身可治感冒；根与猪脑煎服治头痛或疟疾...
黑面神,功用,枝、叶和茎皮均含鞣质，茎皮中含量为12.02％。叶含酚类与三...
钝叶黑面神,功用,根入药，有小毒，治妇科疾病，预防流脑；叶捣汁，治湿疹皮炎...
喙果黑面神,功用,根、叶可药用，治风湿骨痛、湿疹、皮炎等。
小叶黑面神,功用,全株可药用，有消炎、平喘之效，可治哮喘、咽喉肿痛、湿疹等...
土蜜藤,功用,药用。果可催吐解毒；根有消炎、止泻效用。
毛药卷瓣兰,功用,本种的中萼片先端和花瓣中部以上边缘具髯毛，药帽前端边缘具...
柴胡属,功用,柴胡为常用中药，我国自古以来一直广泛应用，为解热要药，有...
锥叶柴胡,功用,锥叶柴胡的根在陕西及其他地方称红柴胡，作药用。
川滇柴胡,功用,全草入药，消炎解毒，祛风止痒。治疮毒疖子。内服煎汤，外用...
柴首,功用,本种根及根颈部入药，称柴首，四川省内部分地区使用，为传统...
北柴胡,功用,本种分布广泛，中药材上称为北柴胡的多为本种及其三个变型，...
马尾柴胡,功用,本种在四川作解热药，土名很多，有马尾柴胡、线柴胡或竹叶柴...
红柴胡,功用,本种及2个变型的根均入药，称红柴胡，《图经本草》所载柴胡...
汶川柴胡,功用,本种在四川省汶川县一带药材公司收购称马尾柴胡，作解热之用...
银州柴胡,功用,本种的根作药用，在陕西称红柴胡或软柴胡，红是形容其根的色...
紫矿,功用,本种是一经济价值较大的树种，是紫胶虫的主要寄主之一。其生...
黄杨科,功用,本科植物主要供观赏，有些种类含生物碱，供药用。黄杨的树干...
云实,功用,根、茎及果药用，性温、味苦、涩，无毒，有发表散寒、活血通...
土蜜树,功用,药用。叶治外伤出血、跌打损伤；根治感冒、神经衰弱、月经不...
革叶粗筒苣苔,功用,全草入药，治跌打损伤。
构属,功用,本属中多数种类树皮为造纸原料，木材轻松可作家具；叶及果实...
鸦胆子,功用,本种之种子称鸦胆子，作中药，味苦，性寒，有清热解毒、止痢...
落地生根,功用,全草入药，可解毒消肿，活血止痛，拔毒生肌。栽培作观赏用。...
醉鱼草属,功用,本属一些种类可供药用和观赏。
白背枫,功用,根和叶供药用，有驱风化湿、行气活络之功效。花芳香，可提取...
莸叶醉鱼草,功用,20. 莸叶醉鱼草（全国中草药汇编）
大叶醉鱼草,功用,全株供药用，有祛风散寒、止咳、消积止痛之效。花可提制芳香...
紫花醉鱼草,功用,嫩茎和花可供药用，有祛风明目，退翳，止咳之功效，可治咳嗽...
醉鱼草,功用,全株有小毒，捣碎投入河中能使活鱼麻醉，便于捕捉，故有“醉...
浆果醉鱼草,功用,药用，全株可治哮喘、咳嗽、支气管炎等；根可治黄疸肝炎。马...
肉荚云实,功用,荚果富含单宁；根入药可治瘰癧等病症。
喙荚云实,功用,种子入药，名石莲子，性寒无毒，开胃进食，清心介烦，除湿去...
苏木,功用,心材入药，为清血剂，有祛痰、止痛、活血、散风之功效。近年...
蔓草虫豆,功用,7. 蔓草虫豆（中国主要植物图说??豆科）虫豆 图版72: 8-9
五彩芋,功用,根入药，外用治骨折（云南河口）。
大喙省藤,功用,藤茎质地较差，可供编织；果实供药用。
鸡爪草,功用,全草供药用，治风湿麻木、鸡爪风、瘰疬等症（四川中药志）。
美花草属,功用,本属的个别种类（太白美花草）可供药用。
太白美花草,功用,全草入药，治小儿肺炎等症（陕西中草药）。
紫珠属,功用,本属有些种类供药用，有些栽培供观赏。
木紫珠,功用,本种为阳性树种，能耐瘠薄土壤，但不耐荫，为次生林的先锋树...
华紫珠,功用,本种和紫珠C. bodinieri Levl. 及窄叶紫珠 C. japonica Thun...
白棠子树,功用,全株供药用，治感冒、跌打损伤、气血瘀滞、妇女闭经、外伤肿...
大叶紫珠,功用,叶或根可作内外伤止血药，治跌打肿痛、创伤出血、肠道出血，...
裸花紫珠,功用,叶药用，有止血止痛、散瘀消肿之效。治外伤出血、跌打肿痛、...
钝齿红紫珠,功用,根或全株有清热止血、消肿止痛之效。
云南紫珠,功用,本种叶也有止血作用，药效仅次于木紫珠C. arborea Roxb.（《...
丁香茄,功用,天茄子“救荒本草称丁香茄，茄（注：幼果）作蜜煎，叶可作蔬...
薄叶红厚壳,功用,本种根在民间作药用，治跌打损伤，风湿骨痛，肾虚腰痛，能祛...
牛角瓜,功用,牛角瓜（广东海南）羊浸树（云南、广东）；断肠草（广东）；...
白花牛角瓜,功用,茎皮纤维可供造纸、制绳索及人造棉，织麻布、麻袋；种毛可作...
驴蹄草属,功用,驴蹄草和花萼驴蹄草可供药用，前者还可用作土农药。
驴蹄草,功用,全草含白头翁素和其他植物碱，有毒，可试制土农药；全草可供...
三角叶驴蹄草,功用,可供药用，外用治疗烧伤、化脓性创伤或皮肤病；煎服治疗热病...
花葶驴蹄草,功用,在四川西北部民间用全草治筋骨疼痛等症，用花治化脓创伤等症...
萼翅藤,功用,在柬埔寨，叶用作强壮药和去毒药，为妇女分娩后15天内作茶的...
打碗花,功用,根药用，治妇女月经不调，红、白带下。
西南风铃草,功用,根药用，治风湿等症。
长叶轮钟草,功用,根药用，无毒，甘而微苦，有益气补虚、祛瘀止痛之效。
凌霄属,功用,花大而美丽，常栽培作庭圆观赏植物；花为妇科药。
凌霄,功用,本种喜温湿环境，用压条、扦插及分根繁殖。
厚萼凌霄,功用,花可代凌霄花入药，功效与凌霄花类同。叶含咖啡酸，对香豆酸...
[艹/杭]子梢属,功用,本属植物较耐干旱，可作水土保持的重要树种。一些种类为营造...
马尿藤,功用,全草入药，治跌打、皮肤病、感冒、肾炎。（云南种子植物名录...
西南[艹/杭]子梢,功用,根可药用，有解热之效（中国高等植物图鉴）。
毛[艹/杭]子梢,功用,1. 毛?子梢（中国主要植物图说??豆科）大红袍（云南丽江，云...
缅南[艹/杭]子梢,功用,25．缅南？子梢
绒毛叶[艹/杭]子梢,功用,根入药，能通经活血、舒筋、收敛、止痛（云南种子植物名录）...
小雀花,功用,20.小雀花（植物名实图考）多花胡枝子（中国主要植物图说??...
三棱枝[艹/杭]子梢,功用,全株入药，清热解表，止咳；根治肠风下血、高热、赤痢（云南...
美人蕉,功用,根茎清热利湿，舒筋活络；治黄疸肝炎，风湿麻木，外伤出血，...
印度大麻,功用,茎皮纤维长而坚韧，可用以织麻布或纺线，制绳索，编织渔网和...
独行千里,功用,根供药用，性味苦寒，有毒，有消炎解毒、镇痛、疗肺止咳的功...
野香橼花,功用,全株药用，有止血、消炎、收敛之效，主治各种内外新老痔疮（...
广州山柑,功用,根藤入药，性味苦、寒，有清热解毒、镇痛、疗肺止咳的功效。
野槟榔,功用,广西德保曾有果“入药，但有毒，人吃能致死”的记载。
马槟榔,功用,种子去皮入药，为“上清丸”的重要药源，因其性味先腥涩后回...
屈头鸡,功用,果入药，性味甘、凉，有疗肺止咳、生津利喉、解毒清肝之效：...
苦子马槟榔,功用,与马槟榔很相近，但本种果实表面平滑，不具肋棱，干后常呈黄...
忍冬科,功用,忍冬科以盛产观赏植物而著称，荚蒾属 Viburnum、忍冬属 Loni...
弯曲碎米荠,功用,28. 弯曲碎米荠（江苏南部种子植物手册）碎米荠（东北植物检...
山芥碎米荠,功用,32. 山芥碎米荠 山芥菜（云南）
弹裂碎米荠,功用,全草可供药用，民间治妇女经血不调；种子可榨油，含油率36％...
裸茎碎米荠,功用,全草入药，清热解毒，可治疔疮。
荞麦叶大百合,功用,蒴果供药用。
大百合,功用,鳞茎供药用。
倒地铃,功用,全株可做药，味苦性凉，有清热利水、凉血解毒和消肿等功效。
天名精,功用,据赵燏黄等考证，本种的果实即我国北方药店出售的“南鹤蝨”...
烟管头草,功用,全草入药。民间把本种与金挖耳当作同一种使用。
金挖耳,功用,民间药用，主治感冒发热、咽喉肿痛、牙痛、蛔虫腹痛、急性肠...
高原天名精,功用,青海藏民用全草治咽喉肿痛、疮肿、胃痛、虫蛇咬伤等。
大花金挖耳,功用,东北民间用作治吐血药服用。花及果实可提芳香油。
棉毛尼泊尔天名精,功用,云南民间用全草煎水洗疥疮、脓泡疮、痔疮，有清热解毒的功效...
石竹科,功用,本科植物的经济用途主要供药用和观赏。孩儿参 [Pseudostella...
灰楸,功用,5.灰楸（河南；中国树木分类学）川楸（云南植物志）
滇楸,功用,本种木材可防虫蚁，在云南为珍贵的商用硬材，用作高级家具及...
长春花,功用,植株含长春花硷，可药用，有降低血压之效；在国外有用来治白...
山石榴,功用,木材致密坚硬，可作为农具、手杖及雕刻之用。根、叶作药用；...
黄花大苞姜,功用,全草可治蛇伤。
红毛七,功用,根及根茎入药，有活血散瘀、祛风止痛、清热解毒、降压止血的...
葶菊,功用,1. 葶菊（中国植物科属检索表）嘎（西藏）图版1：1-8
无茎莛菊,功用,全草在西藏供药用，治头痛。
角花乌蔹莓,功用,本种外形与乌蔹莓C. japonica (Thunb.) Gagnep.相似，但本种...
南蛇藤,功用,在东北、华北地区及山东以本种的成熟果实作中药合欢花用；树...
灯油藤,功用,种子含油50﹪以上，在云南常榨油作灯用油或制肥皂用；种子入...
青葙属,功用,供药用或观赏。
蒙古莸,功用,全草味甘性温，消食理气、祛风湿、活血止痛。煮水当茶喝可治...
单花莸,功用,全草祛暑解表，利尿解毒。治中暑、感冒、尿路感染、白带等症...
锥花莸,功用,贵州用根入药，可清热止痢（《云南植物志》）。
神黄豆,功用,种子药用。
腊肠树,功用,本种是南方常见的庭园观赏树木，树皮含单宁，可做红色染料。...
含羞草决明,功用,本种常生长于荒地上，耐旱又耐瘠，是良好的覆盖植物和改土植...
望江南,功用,在医药上常将本植物用作缓泻剂，种子炒后治疟疾；根有利尿功...
扫帚岩须,功用,全株治气喘。
无根藤,功用,本植物对寄主有害，但全草可供药用，功能化湿消肿，通淋利尿...
木麻黄,功用,本种生长迅速，萌芽力强，对立地条件要求不高，由于它的根系...
梓属,功用,本属植物生长迅速，除供庭园观赏外，木材材质优良，心材色深...
鸡冠花,功用,栽培供观赏；花和种子供药用，为收敛剂，有止血、凉血、止泻...
积雪草,功用,全草入药，清热利湿、消肿解毒，治痧氙腹痛、暑泻、痢疾、湿...
石胡荽,功用,本种即中草药“鹅不食草”，能通窍散寒、祛风利湿，散瘀消肿...
西南胡麻草,功用,全草药用。
风箱树,功用,木材做担杆和农具。根和花序药用，有清热利湿、收敛止泻、祛...
三尖杉科,功用,木材结构细致，材质优良，宜作器具、家具、农具、文具、工艺...
三尖杉,功用,木材黄褐色，纹理细致，材质坚实，韧性强，有弹性，比重0.59...
海南粗榧,功用,木材坚实，纹理细密，可供建筑、家具、器具及农具等用材。枝...
贡山三尖杉,功用,木材黄褐色，纹理细致，材质坚实，韧性强，有弹性，比重0.59...
西双版纳粗榧,功用,木材坚实，可作农具及工艺等用。叶、枝、种子、根可提取多种...
篦子三尖杉,功用,木材坚实，可作农具及工艺等用。叶、枝、种子、根可提取多种...
粗榧,功用,4.粗榧（浙江）鄂西粗榧（中国树木分类学），中华粗榧杉、粗...
毛叶欧李,功用,种仁及根皮供药用，宁夏地区常作郁李仁用。
郁李,功用,43.郁李（植物名实图考）爵梅（江苏），秧李（河南）
金鱼藻,功用,为鱼类饲料，又可喂猪；全草药用，治内伤吐血。
蓝雪花属,功用,本属植物也含白花丹素，国内的几个灌木种民间多作药用。全部...
小蓝雪花,功用,民间用本植物的地下部分治疗风湿跌打、腰腿疼痛、月经不调等...
岷江蓝雪花,功用,本种为民间常用药。西藏用带花的枝叶治崩漏、鼻衄、月经过多...
海杧果,功用,果皮含海杧果碱、毒性苦味素、生物硷、氰酸，毒性强烈，人、...
紫荆,功用,4.紫荆（开宝本草）裸枝树（中国主要植物图说——豆科），紫...
角果木,功用,本种耐盐性很强，但很不耐海水淹没和风浪冲击，没有明显的支...
金雀马尾参,功用,根入药，治癞疮。
吊灯花,功用,药用全株，治癞癣。
药蕨,功用,本种在欧洲广泛分布，为众所周知的一种药用植物。
毛叶木瓜,功用,果实入药可作木瓜的代用品。各地习见栽培，耐寒力不及木瓜和...
皱皮木瓜,功用,各地习见栽培，花色大红、粉红、乳白且有重瓣及半重瓣品种。...
地蔷薇,功用,全草供药用，有祛风湿功效，主治风湿性关节炎。
菜头肾,功用,温州民间著名的草药，治肾虚、腰痛等症。
明党参,功用,明党参是华东地区著名药材之一，能清肺、化痰，平肝、和胃，...
红紫桂竹香,功用,全草入药，有清热解毒作用。
白屈菜,功用,种子含油40%以上；全草入药，有毒，含多种生物碱 (白屈菜碱c...
土荆芥,功用,全草入药，治蛔虫病、钩虫病、蛲虫病，外用治皮肤湿疹，并能...
刺藜,功用,全草可入药，有祛风止痒功效。煎汤外洗，治荨麻疹及皮肤瘙痒...
杂配藜,功用,全草可入药，能调经止血。用于月经不调，功能性子宫出血，吐...
山蜡梅,功用,花黄色美丽，叶常绿，是良好的园林绿化植物。根可药用，治跌...
蜡梅,功用,蜡梅繁殖通常用压条法、分根法和种子繁殖。
唇柱苣苔属,功用,本属植物多有美丽的花，可供观赏；蚂蝗七等植物可供药用。
牛耳朵,功用,民间全草供药用，有清肺止咳等效。
蚂蝗七,功用,26.蚂蝗七（江西）红妈蝗七、石螃蟹（广西）、岩蚂蝗（湖南...
桂林唇柱苣苔,功用,30.桂林唇柱苣苔（植物研究）
钩序唇柱苣苔,功用,全草民间可供药用。
线叶唇柱苣苔,功用,根状茎民间药用，有清热解毒之效。
[山/弄]岗唇柱苣苔,功用,49.?岗唇柱苣苔（广西植物）
红药,功用,全株供药用，有温补养血的功效，是广西天等县生产的成药“桂...
药用唇柱苣苔,功用,根状茎民间供药用。
条叶唇柱苣苔,功用,根状茎可治风湿骨痛等症。
小叶唇柱苣苔,功用,根状茎可治小儿疳积。
羽裂唇柱苣苔,功用,全草在民间供药用，治跌打损伤等症。
刺齿唇柱苣苔,功用,根状茎可治风湿骨痛等症。
羽裂小花苣苔,功用,全草民间供药用。
心叶小花苣苔,功用,全草在民间供药用，可治烫伤等症。
金粟兰科,功用,本科植物主要供药用和提取芳香油。金粟兰的鲜花极香，用于熏...
金粟兰属,功用,本属多数种类的根、根状茎或全株可供药用。有些种类的根状茎...
丝穗金粟兰,功用,全草供药用，能抗菌消炎，活血散瘀；治妇女干血痨，跌打损伤...
宽叶金粟兰,功用,根、根状茎或全草供药用，能舒筋活血、消肿止痛、杀虫。主治...
湖北金粟兰,功用,根状茎或全草供药用。
